Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC02 
       Lat:    -4.46461 ° ± 0.00003
       Lon:  -132.58299 ° ± 0.00002
         X:    17.70916 m ± 1.76282
         Y:   -41.43717 m ± 2.94529
     Depth: -4444.84172 m ± 5.13416
       TAT:    13.71878 m ± 1.80074
Water Vel.:  1498.48991 m ± 1.63212
     Drift:    45.07397 m ± 2.78328
  Drift Az:   156.84463 m ± 2.55881
        dz:    39.15828 m ± 5.13416

       RMS:     2.06509 ms ± 0.48149

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -4.46345  -132.58278  4446.86487  -0.02113   0.06030   0.26340
  2    -4.46275  -132.58421  4453.76965   0.02466   0.02643   0.11884
  3    -4.46214  -132.58557  4460.69915   0.01935   0.07106   0.31059
  4    -4.46143  -132.58711  4483.12056  -0.01892   0.05152   0.22958
  5    -4.46054  -132.58879  4508.33243   0.02367   0.03654   0.16314
  6    -4.45957  -132.59050  4555.13969   0.00257   0.03395   0.15216
  7    -4.45870  -132.59238  4613.34608   0.02038   0.04319   0.18930
  8    -4.45786  -132.59430  4681.42787  -0.06544   0.05031   0.22280
  9    -4.45702  -132.59626  4758.02604  -0.09612   0.05217   0.22640
 10    -4.45614  -132.59820  4845.86773   0.03682   0.04147   0.18375
 11    -4.45532  -132.60009  4944.86119   0.01400   0.06285   0.27804
 12    -4.45451  -132.60201  5045.37962   0.03300   0.03426   0.15111
 13    -4.45309  -132.60331  5145.05043  -0.04586   0.03931   0.17318
 14    -4.45154  -132.60303  5177.83609  -0.05002   0.05274   0.23268
 15    -4.45067  -132.60189  5147.42628  -0.04752   0.05793   0.25604
 16    -4.44973  -132.60066  5129.97895   0.06278   0.05126   0.22543
 17    -4.44867  -132.59925  5107.73475   0.03655   0.05493   0.24086
 18    -4.44751  -132.59772  5103.86783  -0.11205   0.04787   0.21420
 19    -4.44637  -132.59608  5092.19248   0.08627   0.04594   0.19812
 20    -4.44530  -132.59435  5091.51139   0.03912   0.05156   0.22741
 21    -4.44423  -132.59264  5099.85545   0.08727   0.04270   0.18698
 22    -4.44330  -132.59088  5107.84751  -0.00892   0.04246   0.19110
 23    -4.44268  -132.58903  5107.57834  -0.04784   0.04416   0.19537
 24    -4.44236  -132.58714  5098.31678   0.04242   0.04477   0.19960
 25    -4.44205  -132.58523  5104.87477   0.02112   0.04670   0.20518
 26    -4.44179  -132.58280  5109.12304  -0.00930   0.05245   0.23137
 27    -4.44187  -132.58081  5114.29485   0.05054   0.04524   0.19948
 28    -4.44207  -132.57887  5116.18753  -0.01806   0.04497   0.19595
 29    -4.44262  -132.57699  5107.04660  -0.01908   0.05493   0.24260
 30    -4.44343  -132.57514  5099.59824   0.01335   0.04614   0.20494
 31    -4.44430  -132.57326  5094.67476   0.00830   0.03725   0.16456
 32    -4.44512  -132.57141  5098.51654  -0.00526   0.03679   0.16405
 33    -4.44611  -132.56960  5110.43861   0.00005   0.03692   0.16367
 34    -4.44742  -132.56799  5111.06947  -0.05116   0.05590   0.24776
 35    -4.44900  -132.56667  5099.95158   0.04270   0.04137   0.18095
 36    -4.45111  -132.56520  5086.19989  -0.03097   0.04212   0.18802
 37    -4.45322  -132.56371  5092.89665  -0.04505   0.04715   0.20960
 38    -4.45487  -132.56263  5099.47747   0.08163   0.04040   0.18010
 39    -4.45678  -132.56190  5096.06769   0.00438   0.02985   0.13537
 40    -4.46146  -132.56125  5071.26207   0.03277   0.02729   0.11748
 41    -4.46359  -132.56107  5070.56924  -0.00235   0.04474   0.19535
 42    -4.47587  -132.56479  5038.44849   0.00571   0.04164   0.18360
 43    -4.48503  -132.57933  5000.89679  -0.01051   0.04059   0.17762
 44    -4.48452  -132.58081  4966.24726  -0.08720   0.06451   0.28970
 45    -4.48277  -132.58207  4878.19914   0.00447   0.04737   0.20937
 46    -4.47586  -132.59476  4795.12468  -0.00993   0.04031   0.17894
 47    -4.47431  -132.59591  4792.73256   0.05793   0.02455   0.11035
 48    -4.46947  -132.59834  4789.45924  -0.03116   0.06352   0.28232
 49    -4.46757  -132.59895  4796.64582  -0.00533   0.04618   0.20459
 50    -4.46565  -132.59918  4790.91167  -0.03001   0.03086   0.13874
 51    -4.46364  -132.59912  4795.40639   0.04468   0.05283   0.23444
 52    -4.46296  -132.59835  4762.97636   0.02646   0.04414   0.19488
 53    -4.46311  -132.59749  4733.23082  -0.01220   0.05072   0.22600
 54    -4.46397  -132.59536  4653.12666   0.05665   0.04675   0.20449
 55    -4.46443  -132.59421  4615.79682  -0.04724   0.04695   0.20546
 56    -4.46481  -132.59303  4581.37447   0.02718   0.03613   0.16427
 57    -4.46525  -132.59188  4548.91998   0.03855   0.02773   0.12356
 58    -4.46566  -132.59071  4523.40360  -0.01627   0.04930   0.21767
 59    -4.46615  -132.58959  4507.29951   0.00552   0.04486   0.19804
 60    -4.46664  -132.58845  4495.42273  -0.02162   0.03830   0.17194
 61    -4.46678  -132.58817  4486.97767  -0.02221   0.04876   0.21681
 62    -4.46693  -132.58787  4485.53580   0.02754   0.01820   0.08242
 63    -4.46705  -132.58760  4479.75395   0.00458   0.04083   0.17983
 64    -4.46719  -132.58720  4477.29005  -0.02300   0.04021   0.17989
 65    -4.46743  -132.58669  4473.35539  -0.06045   0.04973   0.21956
 66    -4.46776  -132.58610  4470.96279  -0.00116   0.03135   0.14068
 67    -4.46789  -132.58572  4469.81021  -0.07567   0.04108   0.18172
 68    -4.46802  -132.58525  4466.95487   0.00304   0.02019   0.09131
 69    -4.46813  -132.58487  4468.20179  -0.00565   0.05843   0.25462
 70    -4.46817  -132.58450  4467.51224   0.07658   0.02380   0.10916
