Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC03 
       Lat:    -4.88160 ° ± 0.00001
       Lon:  -132.68895 ° ± 0.00001
         X:    13.35897 m ± 1.09875
         Y:    89.26242 m ± 1.50473
     Depth: -4739.26619 m ± 3.46652
       TAT:    12.74695 m ± 1.02738
Water Vel.:  1506.82664 m ± 1.04896
     Drift:    90.25808 m ± 1.53451
  Drift Az:     8.51130 m ± 0.67102
        dz:    10.73381 m ± 3.46652

       RMS:     1.54251 ms ± 0.32284

Bad Pings Removed: 3 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -4.88212  -132.69045  4742.50580   0.05261   0.04780   0.20484
  2    -4.88211  -132.69044  4742.95152   0.04102   0.03882   0.16379
  3    -4.88211  -132.69044  4741.37468   0.01579   0.03974   0.16713
  4    -4.88211  -132.69045  4743.45744  -0.04053   0.04475   0.19020
  5    -4.88210  -132.69061  4744.22322   0.03173   0.04924   0.21035
  6    -4.88208  -132.69058  4740.23987   0.00347   0.04166   0.17701
  7    -4.88243  -132.69023  4740.63799  -0.01708   0.03852   0.16207
  8    -4.88314  -132.68971  4744.25994   0.00705   0.04680   0.19828
  9    -4.88396  -132.68903  4746.78813   0.01767   0.04578   0.19733
 10    -4.88476  -132.68833  4753.60667  -0.02005   0.05684   0.24660
 11    -4.88547  -132.68781  4760.76857  -0.00879   0.03916   0.16384
 12    -4.88619  -132.68724  4771.15210  -0.04560   0.04903   0.21075
 13    -4.88666  -132.68704  4775.67873  -0.06896   0.05114   0.21750
 14    -4.88688  -132.68711  4780.39739   0.02054   0.03852   0.16221
 15    -4.88698  -132.68738  4777.67525   0.02402   0.04790   0.20588
 16    -4.88701  -132.68782  4776.30242  -0.02452   0.03920   0.16414
 17    -4.88701  -132.68838  4776.89115  -0.00720   0.03575   0.15115
 18    -4.88694  -132.68904  4775.72469   0.00378   0.03857   0.16254
 19    -4.88674  -132.68966  4776.06968   0.04351   0.03834   0.16220
 20    -4.88644  -132.69021  4773.45009   0.08989   0.04721   0.19991
 21    -4.88616  -132.69060  4769.90857  -0.00423   0.04421   0.18791
 22    -4.88690  -132.69266  4793.20414   0.02801   0.04709   0.20137
 23    -4.88667  -132.69221  4783.49052   0.02435   0.04472   0.18951
 24    -4.88680  -132.69144  4779.64254  -0.02856   0.03938   0.16908
 25    -4.88720  -132.69058  4783.83546   0.02223   0.04747   0.20246
 26    -4.88770  -132.68970  4789.53441   0.02630   0.03188   0.13091
 27    -4.88817  -132.68880  4796.39682   0.00122   0.03310   0.13684
 28    -4.88892  -132.68781  4809.22566  -0.00965   0.04160   0.17564
 29    -4.88966  -132.68633  4830.51151   0.03580   0.04616   0.19708
 30    -4.89046  -132.68472  4864.73883   0.01573   0.05589   0.24132
 31    -4.89145  -132.68318  4902.57105   0.02996   0.05040   0.21556
 32    -4.89248  -132.68166  4955.68164   0.02927   0.05217   0.22681
 33    -4.89353  -132.68014  5018.34141  -0.04177   0.03350   0.13852
 34    -4.89460  -132.67860  5080.41943  -0.00199   0.04201   0.17641
 35    -4.89564  -132.67709  5156.26143  -0.01515   0.03967   0.16877
 36    -4.89603  -132.67539  5222.49039  -0.01177   0.05058   0.21743
 37    -4.89593  -132.67361  5278.89244  -0.00087   0.03779   0.16080
 38    -4.89553  -132.67141  5347.78411   0.01700   0.06862   0.29930
 39    -4.89377  -132.66902  5399.62545  -0.03465   0.04827   0.20622
 40    -4.89153  -132.66833  5373.86811  -0.02139   0.04408   0.18785
 41    -4.88972  -132.66766  5365.87831  -0.06473   0.04490   0.19083
 42    -4.88779  -132.66714  5361.81408   0.02997   0.05163   0.22234
 43    -4.88584  -132.66676  5362.80383  -0.03792   0.03606   0.14910
 44    -4.88381  -132.66645  5360.89032   0.02450   0.05218   0.22458
 45    -4.88176  -132.66619  5365.38850  -0.02487   0.04211   0.17787
 46    -4.87977  -132.66598  5381.11323   0.03154   0.03562   0.14933
 47    -4.87770  -132.66591  5399.93412  -0.00614   0.03245   0.13787
 48    -4.87557  -132.66628  5407.07902   0.03819   0.05360   0.23000
 49    -4.87344  -132.66689  5411.88426   0.00002   0.04557   0.19449
 50    -4.87139  -132.66768  5412.43816   0.00836   0.04309   0.18327
 51    -4.86941  -132.66871  5414.50114   0.02973   0.04916   0.21219
 52    -4.86763  -132.67019  5400.41333   0.00068   0.04591   0.19576
 53    -4.86609  -132.67203  5379.47470  -0.00513   0.04302   0.18425
 54    -4.86479  -132.67405  5349.66648   0.03776   0.05033   0.21503
 55    -4.86371  -132.67606  5329.31700   0.01155   0.03954   0.16821
 56    -4.86282  -132.67805  5313.90259   0.04421   0.04186   0.17736
 57    -4.86208  -132.68012  5296.36855  -0.02372   0.06243   0.27119
 58    -4.86146  -132.68223  5289.20333   0.03315   0.04406   0.18644
 59    -4.86103  -132.68443  5279.06010  -0.00472   0.05587   0.23790
 60    -4.86080  -132.68664  5278.13604   0.01416   0.03828   0.16066
 61    -4.86076  -132.68888  5267.56461  -0.01789   0.04718   0.20169
 62    -4.86083  -132.69111  5270.65170   0.01186   0.03543   0.14912
 63    -4.86111  -132.69333  5275.25438  -0.03296   0.04389   0.18643
 64    -4.86188  -132.69537  5265.75380   0.02072   0.04625   0.19793
 65    -4.86280  -132.69743  5260.60968  -0.05579   0.04207   0.17799
 66    -4.86383  -132.69924  5256.64279  -0.01369   0.05162   0.22195
 67    -4.86493  -132.70117  5262.35368   0.04091   0.04219   0.18020
 68    -4.86635  -132.70276  5255.77274   0.03353   0.04762   0.20357
 69    -4.86792  -132.70417  5252.18042  -0.00102   0.04289   0.18179
 70    -4.86956  -132.70544  5251.16529  -0.04588   0.02851   0.11571
 71    -4.87294  -132.70769  5267.02182   0.05417   0.04248   0.18117
 72    -4.87488  -132.70827  5253.40003  -0.05598   0.04321   0.18286
 73    -4.87684  -132.70879  5251.18536  -0.02852   0.04945   0.21124
 74    -4.87885  -132.70919  5254.65008   0.01002   0.03846   0.16211
 75    -4.88094  -132.70956  5260.94142  -0.02103   0.04291   0.18213
 76    -4.88292  -132.70962  5268.37319  -0.03219   0.04029   0.17110
 77    -4.88680  -132.70936  5282.53747  -0.02865   0.03154   0.13143
 78    -4.89219  -132.70733  5290.65991  -0.01159   0.04951   0.21127
 79    -4.89458  -132.70600  5301.54876  -0.03079   0.04463   0.19051
 80    -4.90163  -132.69593  5287.00051   0.04469   0.04265   0.18078
 81    -4.90107  -132.69454  5243.64559  -0.06295   0.04201   0.17937
 82    -4.90031  -132.69379  5201.13560   0.01398   0.03379   0.14092
 83    -4.89941  -132.69347  5154.62449  -0.02702   0.03981   0.16911
 84    -4.89789  -132.69332  5093.61655   0.00583   0.05832   0.25146
 85    -4.89663  -132.69318  5043.84057  -0.08713   0.03264   0.13539
