Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC05 
       Lat:    -5.51738 ° ± 0.00001
       Lon:  -132.87300 ° ± 0.00001
         X:   -44.18534 m ± 1.15975
         Y:    69.09912 m ± 1.23330
     Depth: -4798.00728 m ± 3.66649
       TAT:    14.31696 m ± 1.17857
Water Vel.:  1510.62355 m ± 1.03504
     Drift:    82.02095 m ± 1.11785
  Drift Az:   327.40278 m ± 0.88769
        dz:   -82.00728 m ± 3.66649

       RMS:     1.63341 ms ± 0.36992

Bad Pings Removed: 2 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -5.51757  -132.87227  4798.63828  -0.03753   0.05440   0.23198
  2    -5.51757  -132.87227  4798.73340   0.02332   0.04845   0.20214
  3    -5.51755  -132.87228  4798.79760  -0.00112   0.04626   0.19477
  4    -5.51755  -132.87226  4798.03377  -0.02647   0.04199   0.17651
  5    -5.51794  -132.87186  4802.59674   0.01030   0.05338   0.22537
  6    -5.51898  -132.87126  4805.15964  -0.01808   0.03657   0.15339
  7    -5.52048  -132.87036  4818.81458   0.02545   0.03473   0.14113
  8    -5.52197  -132.86927  4840.67433  -0.06342   0.04601   0.19238
  9    -5.52331  -132.86794  4875.57417  -0.03323   0.05796   0.24717
 10    -5.52479  -132.86664  4917.69698   0.01668   0.04111   0.17273
 11    -5.52632  -132.86539  4973.58739  -0.10339   0.04936   0.20870
 12    -5.52832  -132.86377  5054.08605  -0.00264   0.04141   0.17304
 13    -5.52991  -132.86252  5129.72077   0.08972   0.06002   0.25830
 14    -5.53147  -132.86128  5210.13486  -0.01683   0.03664   0.15189
 15    -5.53342  -132.85772  5389.03256   0.00440   0.04818   0.20650
 16    -5.53218  -132.85632  5393.45214   0.03347   0.05724   0.24586
 17    -5.53059  -132.85507  5395.64525   0.01800   0.05260   0.22476
 18    -5.52889  -132.85382  5400.58370  -0.06594   0.03814   0.15737
 19    -5.52497  -132.85214  5389.73084   0.01448   0.05313   0.22465
 20    -5.52288  -132.85156  5390.06758   0.05489   0.04026   0.16634
 21    -5.52065  -132.85125  5383.57915   0.00078   0.04946   0.20903
 22    -5.51830  -132.85102  5382.20471   0.04811   0.05238   0.22365
 23    -5.51595  -132.85107  5380.97399   0.03487   0.05078   0.21332
 24    -5.51364  -132.85144  5377.01418   0.07427   0.04703   0.19651
 25    -5.51131  -132.85201  5372.89213  -0.01286   0.04836   0.20708
 26    -5.50904  -132.85283  5373.65529  -0.04343   0.04497   0.18844
 27    -5.50693  -132.85391  5370.62629   0.00055   0.03979   0.16552
 28    -5.50505  -132.85539  5358.48389  -0.00464   0.03053   0.12375
 29    -5.50327  -132.85700  5348.54038  -0.03918   0.05128   0.21839
 30    -5.49984  -132.86049  5357.09305  -0.00865   0.06136   0.26235
 31    -5.49883  -132.86273  5340.17933   0.05004   0.03497   0.14270
 32    -5.49802  -132.86503  5329.49042   0.01043   0.04071   0.16927
 33    -5.49715  -132.86737  5330.25095  -0.04955   0.05379   0.22713
 34    -5.49639  -132.86971  5343.79082  -0.04981   0.05025   0.21382
 35    -5.49624  -132.87209  5337.23720   0.00419   0.04580   0.19328
 36    -5.49653  -132.87447  5324.81625  -0.05631   0.03107   0.12731
 37    -5.49689  -132.87688  5322.87691  -0.01812   0.05478   0.23075
 38    -5.49736  -132.87908  5326.68781   0.01907   0.03779   0.15373
 39    -5.49806  -132.88127  5331.16631   0.01326   0.03947   0.16191
 40    -5.49906  -132.88334  5332.51225   0.04317   0.04499   0.18983
 41    -5.50043  -132.88530  5331.81080  -0.03734   0.05607   0.24074
 42    -5.50190  -132.88713  5327.10175   0.00992   0.03930   0.16362
 43    -5.50347  -132.88881  5333.53543   0.07578   0.05747   0.24509
 44    -5.50522  -132.89021  5337.29004   0.00099   0.03985   0.16557
 45    -5.50719  -132.89141  5335.68017  -0.05421   0.02862   0.11601
 46    -5.50927  -132.89222  5323.16107   0.03399   0.04981   0.21072
 47    -5.51141  -132.89276  5315.37818   0.03190   0.03673   0.15292
 48    -5.52283  -132.89382  5359.79759   0.01939   0.04129   0.17132
 49    -5.52486  -132.89309  5355.49955  -0.04268   0.03300   0.13503
 50    -5.52686  -132.89240  5362.54575  -0.03987   0.04072   0.17013
 51    -5.53017  -132.89057  5369.29716  -0.00756   0.04867   0.20763
 52    -5.53188  -132.88935  5371.27064   0.03789   0.05403   0.23000
 53    -5.53342  -132.88798  5376.77113  -0.00326   0.03663   0.15135
 54    -5.53479  -132.88646  5382.13059  -0.00041   0.04268   0.17742
 55    -5.53597  -132.88483  5381.92819   0.07180   0.05462   0.23066
 56    -5.53702  -132.88298  5380.23015  -0.04958   0.02809   0.11272
 57    -5.53838  -132.88062  5397.35605  -0.01011   0.04099   0.17197
 58    -5.53935  -132.87875  5413.33960  -0.02897   0.03426   0.14049
 59    -5.53855  -132.87724  5359.77220   0.05968   0.03971   0.16622
 60    -5.53408  -132.87619  5154.67941   0.02310   0.04112   0.17338
 61    -5.53243  -132.87581  5088.17242  -0.01134   0.03463   0.14192
 62    -5.53119  -132.87550  5040.99843  -0.03093   0.04096   0.16909
