Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC06 
       Lat:    -5.83853 ° ± 0.00001
       Lon:  -132.95180 ° ± 0.00001
         X:   -71.03516 m ± 0.85707
         Y:    56.38269 m ± 0.95967
     Depth: -4823.82296 m ± 3.63223
       TAT:    13.82429 m ± 0.84834
Water Vel.:  1510.89793 m ± 0.96430
     Drift:    90.69242 m ± 1.09617
  Drift Az:   308.43974 m ± 0.42547
        dz:     0.17704 m ± 3.63223

       RMS:     1.30015 ms ± 0.29037

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -5.83896  -132.95172  4823.95106   0.01258   0.08145   0.35530
  2    -5.83904  -132.95141  4822.16962  -0.03794   0.04645   0.20037
  3    -5.83927  -132.95072  4824.25476   0.00784   0.06436   0.28085
  4    -5.83970  -132.94986  4829.56099  -0.01543   0.06713   0.29317
  5    -5.84066  -132.94884  4839.02186   0.01185   0.06476   0.28216
  6    -5.84187  -132.94768  4856.51979  -0.03258   0.06091   0.26259
  7    -5.84312  -132.94647  4887.35109  -0.01347   0.06169   0.26760
  8    -5.84452  -132.94519  4924.14398   0.04796   0.08821   0.38979
  9    -5.84594  -132.94384  4971.48373  -0.01419   0.07572   0.33090
 10    -5.84738  -132.94249  5028.51655   0.00432   0.06701   0.29241
 11    -5.84886  -132.94111  5096.38355  -0.00081   0.06326   0.27325
 12    -5.85035  -132.93973  5172.90238   0.02624   0.07957   0.35060
 13    -5.85180  -132.93827  5261.01207   0.03113   0.07296   0.32066
 14    -5.85249  -132.93642  5344.51555  -0.02432   0.06182   0.26656
 15    -5.85208  -132.93455  5399.54482  -0.03138   0.04225   0.17965
 16    -5.84526  -132.93049  5420.02316   0.01241   0.05943   0.25907
 17    -5.84305  -132.92989  5423.44823   0.00833   0.06943   0.30379
 18    -5.84091  -132.92941  5433.72951  -0.01801   0.05744   0.24838
 19    -5.83878  -132.92927  5429.08868  -0.02459   0.05814   0.25235
 20    -5.83671  -132.92944  5427.26216  -0.04513   0.06129   0.26556
 21    -5.83458  -132.92977  5421.48981   0.00689   0.05566   0.24054
