Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC07 
       Lat:    -6.15879 ° ± 0.00001
       Lon:  -133.04639 ° ± 0.00001
         X:   -67.49245 m ± 1.24553
         Y:  -176.16755 m ± 1.42156
     Depth: -4626.97563 m ± 3.16175
       TAT:    14.85153 m ± 1.56214
Water Vel.:  1507.99973 m ± 0.99226
     Drift:   188.65494 m ± 1.33353
  Drift Az:   200.96274 m ± 0.40674
        dz:    44.02437 m ± 3.16175

       RMS:     1.83349 ms ± 0.33321

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -6.15825  -133.05132  4659.42452  -0.01115   0.00166   0.00013
  2    -6.15806  -133.05021  4648.45549   0.04483   0.02335   0.09530
  3    -6.15786  -133.04907  4637.68390  -0.06233   0.00032   -0.00472
  4    -6.15764  -133.04778  4636.27057  -0.01477   0.01748   0.06989
  5    -6.15746  -133.04664  4630.12370   0.04171   0.01611   0.06589
  6    -6.15743  -133.04641  4629.60840  -0.02293   0.00255   0.00483
  7    -6.15738  -133.04619  4627.63820   0.02555   0.01748   0.06918
  8    -6.15719  -133.04486  4629.63052  -0.00486   0.02687   0.11000
  9    -6.15797  -133.04319  4639.76754   0.00376   0.02098   0.08625
 10    -6.15942  -133.04198  4653.84069  -0.02445   0.01704   0.06802
 11    -6.16071  -133.04053  4676.26657  -0.01169   0.03133   0.13211
 12    -6.16222  -133.03928  4708.54817   0.07290   0.01073   0.04268
 13    -6.16374  -133.03805  4748.48376   0.01182   0.01313   0.05021
 14    -6.16582  -133.03654  4818.09084  -0.00814   0.00178   -0.00063
 15    -6.16849  -133.03474  4919.75978  -0.01435   0.00539   0.01806
 16    -6.17022  -133.03356  5003.37353   0.01914   0.00609   0.02027
 17    -6.17192  -133.03235  5093.03652  -0.03157   -0.01323  -0.06506
 18    -6.17232  -133.03053  5169.35412  -0.01421   0.02364   0.09627
 19    -6.16733  -133.02662  5205.69269   0.02598   0.00031   -0.00772
 20    -6.16538  -133.02564  5217.03090  -0.05620   0.00465   0.01513
 21    -6.16123  -133.02418  5247.19534   0.06289   0.00884   0.03142
 22    -6.15901  -133.02398  5249.72500  -0.10293   0.00500   0.01523
 23    -6.15669  -133.02397  5253.87056  -0.06758   0.00172   -0.00020
 24    -6.15440  -133.02409  5267.49487   0.02600   0.01063   0.03964
 25    -6.14992  -133.02516  5281.71444  -0.04988   0.01654   0.06689
 26    -6.14790  -133.02605  5284.69819  -0.01261   0.02075   0.08430
 27    -6.14614  -133.02713  5285.00614   0.07053   0.00572   0.01720
 28    -6.14451  -133.02842  5275.47841  -0.02782   -0.00205  -0.01590
 29    -6.14285  -133.02980  5278.46155  -0.00668   0.01870   0.07538
 30    -6.14124  -133.03127  5289.71669   0.07649   0.00863   0.03164
 31    -6.13979  -133.03289  5295.71114   0.00118   0.02479   0.10352
 32    -6.13852  -133.03461  5305.27904  -0.01023   0.01539   0.06101
 33    -6.13757  -133.03647  5304.66292   0.03988   0.02174   0.08932
 34    -6.13675  -133.03847  5301.55462   0.07133   0.03153   0.12956
 35    -6.13610  -133.04051  5306.47047   0.00584   0.02549   0.10456
 36    -6.13567  -133.04264  5302.11191   0.06236   0.00778   0.02660
 37    -6.13543  -133.04476  5303.56791  -0.03370   0.00204   0.00228
 38    -6.13544  -133.04690  5298.69839   0.01104   -0.00021  -0.00982
 39    -6.13567  -133.04891  5292.34055  -0.04587   -0.00200  -0.01454
 40    -6.13606  -133.05091  5287.47119   0.02435   0.03278   0.13462
 41    -6.13667  -133.05291  5284.48233  -0.08422   0.01700   0.06776
 42    -6.13751  -133.05480  5273.53476  -0.06073   0.01438   0.05446
 43    -6.13849  -133.05660  5266.59331  -0.02958   0.00320   0.00620
 44    -6.13952  -133.05840  5263.65334  -0.00942   0.00902   0.03342
 45    -6.14079  -133.06014  5263.29573   0.04466   0.00021   -0.00617
 46    -6.14219  -133.06177  5261.32534  -0.06830   0.02131   0.08585
 47    -6.14379  -133.06310  5253.33966   0.04395   0.00755   0.02448
 48    -6.14557  -133.06416  5237.46037   0.09170   0.02866   0.11880
 49    -6.14728  -133.06516  5230.80527   0.01657   0.01941   0.07862
 50    -6.14911  -133.06594  5217.67599   0.03121   0.02294   0.09060
 51    -6.15108  -133.06668  5213.31715   0.00455   0.02297   0.09394
 52    -6.15310  -133.06717  5203.01716   0.09438   0.01441   0.05663
 53    -6.15515  -133.06749  5196.43743   0.02315   0.01757   0.06972
 54    -6.15721  -133.06754  5189.48400  -0.04194   0.00252   0.00530
 55    -6.15925  -133.06756  5188.48510  -0.03711   -0.00736  -0.03920
 56    -6.16318  -133.06682  5170.97237   0.02534   0.01227   0.04662
 57    -6.16508  -133.06608  5162.49233  -0.03157   0.00790   0.02831
 58    -6.16866  -133.06434  5151.13828  -0.06804   0.00971   0.03494
 59    -6.17030  -133.06325  5151.07547  -0.01294   0.02543   0.10439
 60    -6.17185  -133.06194  5143.64641   0.02156   0.01871   0.07305
 61    -6.17330  -133.06057  5141.20387   0.00926   0.01459   0.05705
 62    -6.17459  -133.05908  5141.50657  -0.00697   0.00362   0.00720
 63    -6.17677  -133.05553  5135.22538  -0.02341   0.00758   0.02700
 64    -6.17757  -133.05373  5134.07402  -0.00456   0.01191   0.04582
 65    -6.17822  -133.05184  5136.38019   0.05502   0.02642   0.10695
 66    -6.17835  -133.05002  5123.49116  -0.03493   0.02035   0.08230
 67    -6.17685  -133.04922  5049.26902   0.04895   -0.00757  -0.04122
 68    -6.17486  -133.04881  4961.07371   0.01078   0.01666   0.06585
 69    -6.17331  -133.04849  4903.84787   0.00712   0.02199   0.09051
 70    -6.17204  -133.04827  4856.11989  -0.04405   0.03352   0.13879
 71    -6.17091  -133.04807  4818.82111  -0.01701   0.00091   -0.00303
