Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC08 
       Lat:    -6.48164 ° ± 0.00001
       Lon:  -133.12326 ° ± 0.00002
         X:   -12.24064 m ± 2.04606
         Y:   -73.33018 m ± 1.54563
     Depth: -4745.67448 m ± 3.42004
       TAT:    12.49920 m ± 1.35221
Water Vel.:  1502.16936 m ± 1.09130
     Drift:    74.35152 m ± 1.60438
  Drift Az:   189.47497 m ± 1.54015
        dz:    28.32552 m ± 3.42004

       RMS:     2.06904 ms ± 0.47230

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -6.48192  -133.12212  4747.41157   0.04942   0.07492   0.32549
  2    -6.48100  -133.12238  4749.45185   0.06820   0.08210   0.35824
  3    -6.47994  -133.12258  4748.23269   0.01772   0.06897   0.30006
  4    -6.47895  -133.12268  4754.67263   0.04777   0.08293   0.35736
  5    -6.47802  -133.12265  4761.85894  -0.02346   0.09411   0.41406
  6    -6.47717  -133.12259  4772.43320  -0.04060   0.10055   0.44197
  7    -6.47611  -133.12252  4784.09001   0.04413   0.07671   0.32903
  8    -6.47466  -133.12228  4808.02709   0.07444   0.08901   0.38852
  9    -6.47299  -133.12202  4841.85276  -0.08243   0.08508   0.37249
 10    -6.47121  -133.12183  4884.75382   0.01632   0.10283   0.45412
 11    -6.46936  -133.12160  4938.54343   0.08416   0.08771   0.38480
 12    -6.46738  -133.12140  5003.58602   0.01788   0.08521   0.37424
 13    -6.46542  -133.12121  5079.44446  -0.02987   0.08919   0.38940
 14    -6.46339  -133.12102  5164.75754   0.03224   0.07564   0.32927
 15    -6.46135  -133.12084  5255.62274   0.01727   0.10217   0.44767
 16    -6.45926  -133.12064  5362.67403   0.07092   0.08485   0.36751
 17    -6.45790  -133.11968  5439.96809   0.02055   0.09243   0.40411
 18    -6.45832  -133.11828  5429.11331  -0.03464   0.10080   0.44545
 19    -6.45893  -133.11664  5419.20778   0.01655   0.07153   0.31009
 20    -6.45958  -133.11486  5415.55057   0.06152   0.06927   0.29783
 21    -6.46029  -133.11314  5419.51625   0.03186   0.08444   0.36573
 22    -6.46122  -133.11155  5413.03998   0.01982   0.09950   0.43725
 23    -6.46247  -133.11003  5399.77470   0.03130   0.09041   0.39403
 24    -6.46387  -133.10845  5389.12362  -0.04073   0.09228   0.40465
 25    -6.46517  -133.10684  5396.81417  -0.10256   0.08604   0.37403
 26    -6.46655  -133.10527  5409.62607   0.03875   0.07354   0.31773
 27    -6.46809  -133.10386  5420.17596  -0.05714   0.10590   0.46803
 28    -6.46987  -133.10269  5421.25315  -0.00932   0.09121   0.39657
 29    -6.47171  -133.10171  5422.04741  -0.01204   0.09249   0.40477
 30    -6.47370  -133.10106  5416.84194  -0.02156   0.09143   0.39772
 31    -6.47579  -133.10070  5400.84866  -0.07756   0.11512   0.51058
 32    -6.47801  -133.10063  5381.51545  -0.06748   0.09998   0.44156
 33    -6.48022  -133.10072  5359.37857  -0.03118   0.10209   0.44920
 34    -6.48242  -133.10088  5354.33667   0.00701   0.07255   0.31295
 35    -6.48462  -133.10120  5346.24034   0.02006   0.09992   0.43853
 36    -6.48674  -133.10170  5340.20513  -0.04066   0.08209   0.35641
 37    -6.48867  -133.10228  5339.33742  -0.01013   0.09899   0.43455
 38    -6.49053  -133.10309  5337.41769   0.02950   0.07428   0.31868
 39    -6.49243  -133.10424  5325.34660  -0.00413   0.07385   0.32186
 40    -6.49431  -133.10571  5316.50121  -0.03376   0.09322   0.41008
 41    -6.49597  -133.10736  5305.19473  -0.03000   0.09690   0.42653
 42    -6.49736  -133.10923  5285.81504   0.04655   0.09135   0.39889
 43    -6.49854  -133.11127  5263.12769   0.00122   0.07553   0.32989
 44    -6.49970  -133.11326  5265.80600  -0.01797   0.09536   0.41762
 45    -6.50075  -133.11514  5271.47467  -0.01650   0.08648   0.37670
 46    -6.50164  -133.11708  5280.14624  -0.08470   0.11780   0.52127
 47    -6.50235  -133.11913  5287.22336  -0.00911   0.09020   0.39313
 48    -6.50258  -133.12145  5284.88041  -0.02939   0.10046   0.44141
 49    -6.50235  -133.12371  5268.70088  -0.07574   0.09813   0.42957
 50    -6.50187  -133.12597  5253.89369  -0.00154   0.08211   0.35496
 51    -6.50116  -133.12815  5240.35491   0.00625   0.09408   0.40818
 52    -6.50037  -133.13036  5238.64346  -0.01099   0.07911   0.34446
 53    -6.49611  -133.13761  5252.32838   0.06712   0.07274   0.31715
 54    -6.49119  -133.14195  5282.10903   0.05792   0.08355   0.36387
 55    -6.48916  -133.14270  5274.16917   0.02448   0.09705   0.42653
 56    -6.48540  -133.14354  5264.70406   0.01586   0.09639   0.42466
 57    -6.47425  -133.14338  5305.92928   0.03463   0.10171   0.44965
 58    -6.47246  -133.14256  5301.60423  -0.02205   0.09953   0.43614
 59    -6.47079  -133.14160  5299.84650   0.02606   0.08302   0.36027
 60    -6.46905  -133.14060  5304.03108  -0.06352   0.09497   0.41960
 61    -6.46966  -133.13800  5192.70392  -0.03126   0.10783   0.47634
 62    -6.47219  -133.13437  5013.49720   0.00881   0.08806   0.38527
