Bootstrap Inversion Results (± 2σ uncertainty)

   Station: CC09 
       Lat:    -6.79945 ° ± 0.00001
       Lon:  -133.21640 ° ± 0.00001
         X:  -114.71749 m ± 1.37628
         Y:   -74.68490 m ± 1.34164
     Depth: -4615.61875 m ± 3.55913
       TAT:    12.78654 m ± 1.29033
Water Vel.:  1509.24442 m ± 1.11147
     Drift:   136.88884 m ± 1.10892
  Drift Az:   236.93429 m ± 0.65706
        dz:     4.38125 m ± 3.55913

       RMS:     1.74688 ms ± 0.40000

Bad Pings Removed: 2 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -6.79858  -133.21652  4616.62893   0.03015   0.05535   0.23016
  2    -6.79861  -133.21653  4618.22543  -0.03991   0.05267   0.21862
  3    -6.79866  -133.21653  4617.85886  -0.00901   0.04861   0.20122
  4    -6.79871  -133.21660  4618.84078   0.02062   0.05385   0.22312
  5    -6.79944  -133.21598  4616.26944   0.02218   0.04147   0.16937
  6    -6.80057  -133.21485  4620.82421   0.01688   0.05622   0.23218
  7    -6.80189  -133.21356  4636.11572  -0.02125   0.03013   0.11845
  8    -6.80324  -133.21216  4658.42480  -0.02800   0.03548   0.14270
  9    -6.80477  -133.21067  4699.81750   0.01018   0.03885   0.15642
 10    -6.80636  -133.20913  4748.29328   0.00492   0.05409   0.22537
 11    -6.80798  -133.20764  4808.69591   0.03574   0.04773   0.19682
 12    -6.80963  -133.20617  4883.62363   0.00079   0.05759   0.24178
 13    -6.81205  -133.20388  5016.04292   0.02087   0.06264   0.26082
 14    -6.81302  -133.20142  5128.50149   0.02357   0.05487   0.22689
 15    -6.81230  -133.19901  5197.05328   0.00585   0.03893   0.15814
 16    -6.80969  -133.19712  5207.14010   0.06719   0.04215   0.17076
 17    -6.80665  -133.19614  5190.70405  -0.01076   0.04589   0.18799
 18    -6.80442  -133.19578  5177.33284  -0.01580   0.05861   0.24339
 19    -6.80221  -133.19545  5174.15589   0.03203   0.05875   0.24777
 20    -6.79998  -133.19529  5169.66178   0.04337   0.06129   0.25499
 21    -6.79772  -133.19522  5178.48669  -0.00509   0.05797   0.23997
 22    -6.79541  -133.19541  5182.43388   0.03462   0.05691   0.23619
 23    -6.79324  -133.19579  5190.48245   0.08855   0.04074   0.16760
 24    -6.79126  -133.19648  5191.01765  -0.00011   0.04963   0.20519
 25    -6.78930  -133.19733  5194.30493  -0.05828   0.05861   0.24371
 26    -6.78607  -133.19932  5200.36512  -0.00992   0.05449   0.22627
 27    -6.78433  -133.20062  5208.47271   0.01865   0.06215   0.25868
 28    -6.78242  -133.20239  5220.74277   0.02200   0.04028   0.16357
 29    -6.78121  -133.20407  5212.13869   0.01098   0.05368   0.22402
 30    -6.78019  -133.20596  5212.68495   0.04577   0.04753   0.19409
 31    -6.77924  -133.20796  5212.52977  -0.00377   0.05703   0.23779
 32    -6.77760  -133.21214  5232.30158   0.03040   0.05017   0.20680
 33    -6.77736  -133.21436  5226.49783   0.01639   0.05564   0.23150
 34    -6.77729  -133.21665  5225.74486  -0.06246   0.04863   0.20148
 35    -6.77741  -133.21884  5225.84383  -0.03480   0.04587   0.18737
 36    -6.77773  -133.22094  5226.21860  -0.05025   0.04381   0.17921
 37    -6.77820  -133.22309  5228.55236   0.04606   0.06389   0.26570
 38    -6.77896  -133.22508  5227.64472  -0.02233   0.04129   0.16740
 39    -6.78000  -133.22690  5222.87641   0.01340   0.05519   0.23049
 40    -6.78113  -133.22880  5222.20831   0.09025   0.06872   0.28651
 41    -6.78232  -133.23060  5232.58427  -0.04838   0.04542   0.18583
 42    -6.78373  -133.23216  5229.68757  -0.05531   0.03736   0.15229
 43    -6.78534  -133.23357  5227.14465  -0.05789   0.04382   0.18006
 44    -6.78886  -133.23576  5219.07277  -0.04088   0.03554   0.14452
 45    -6.79070  -133.23663  5217.47893  -0.03068   0.05621   0.23196
 46    -6.79261  -133.23735  5218.42768  -0.02544   0.03960   0.15977
 47    -6.79458  -133.23785  5220.09332   0.03361   0.04695   0.19245
 48    -6.79652  -133.23809  5214.45751   0.05989   0.05517   0.22896
 49    -6.79859  -133.23825  5212.28382   0.06321   0.05461   0.22681
 50    -6.80060  -133.23819  5205.43637  -0.02085   0.06128   0.25487
 51    -6.80250  -133.23794  5206.25337  -0.07342   0.03810   0.15698
 52    -6.80436  -133.23752  5202.63006  -0.01374   0.03799   0.15546
 53    -6.80623  -133.23697  5202.90632  -0.02659   0.04358   0.17915
 54    -6.80806  -133.23625  5197.71257  -0.00885   0.05014   0.20638
 55    -6.80984  -133.23533  5197.91170  -0.05972   0.04189   0.17197
 56    -6.81162  -133.23421  5198.20127  -0.02044   0.04997   0.20726
 57    -6.81326  -133.23296  5193.81811  -0.06300   0.04370   0.18010
 58    -6.81471  -133.23152  5192.11633  -0.02489   0.03267   0.13251
 59    -6.81682  -133.22854  5175.37359  -0.00600   0.04291   0.17585
 60    -6.81794  -133.22678  5179.72321  -0.02282   0.06262   0.26058
 61    -6.81877  -133.22492  5171.38559   0.04495   0.06754   0.28074
 62    -6.81851  -133.22316  5130.97631   0.00563   0.04692   0.19321
 63    -6.81761  -133.22208  5073.17060   0.01183   0.05090   0.20983
 64    -6.81665  -133.22171  5025.48267  -0.02222   0.04691   0.19208
 65    -6.81429  -133.22117  4928.61418   0.04228   0.05130   0.21225
 66    -6.81304  -133.22083  4878.65100  -0.01328   0.05984   0.24890
 67    -6.81201  -133.22053  4843.34359  -0.00823   0.04092   0.16699
