Bootstrap Inversion Results (± 2σ uncertainty)

   Station: EC01 
       Lat:    -4.72613 ° ± 0.00001
       Lon:  -131.48519 ° ± 0.00002
         X:    -1.85636 m ± 1.85411
         Y:   -99.54856 m ± 0.98502
     Depth: -4576.03135 m ± 3.03274
       TAT:    12.21743 m ± 0.92144
Water Vel.:  1498.28337 m ± 0.93279
     Drift:    99.57019 m ± 0.98205
  Drift Az:   181.06860 m ± 1.06747
        dz:    30.96865 m ± 3.03274

       RMS:     1.55179 ms ± 0.30978

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -4.72440  -131.49218  4645.17479   0.00789   -0.03450  -0.14244
  2    -4.72449  -131.49220  4644.21904   0.07069   -0.07173  -0.31315
  3    -4.72471  -131.49207  4642.91885   0.00106   -0.06236  -0.26804
  4    -4.72511  -131.49167  4633.65820   0.02876   -0.05146  -0.22461
  5    -4.72606  -131.49094  4620.55211  -0.01173   -0.04063  -0.17096
  6    -4.72720  -131.49006  4612.21665  -0.11149   -0.04261  -0.18534
  7    -4.72839  -131.48915  4604.19675   0.00975   -0.04756  -0.20198
  8    -4.72959  -131.48814  4604.10922  -0.05145   -0.06040  -0.26073
  9    -4.73096  -131.48695  4612.75629   0.01366   -0.05502  -0.23628
 10    -4.73243  -131.48576  4628.83877  -0.07627   -0.02586  -0.11039
 11    -4.73386  -131.48459  4656.02257   0.04056   -0.05319  -0.22985
 12    -4.73534  -131.48339  4694.20335   0.00987   -0.06320  -0.27638
 13    -4.73692  -131.48208  4740.04371  -0.07888   -0.06183  -0.26805
 14    -4.74442  -131.48029  5030.90070  -0.00293   -0.06045  -0.25901
 15    -4.74587  -131.48187  5083.18305   0.03265   -0.06087  -0.26265
 16    -4.74637  -131.48520  5093.84070   0.02365   -0.04299  -0.18398
 17    -4.74649  -131.48809  5109.80724   0.05260   -0.05423  -0.23451
 18    -4.74659  -131.49040  5138.66200  -0.05904   -0.05500  -0.24096
 19    -4.74668  -131.49271  5176.53094  -0.00544   -0.06224  -0.26609
 20    -4.74643  -131.49500  5211.54631  -0.01315   -0.06240  -0.26797
 21    -4.74596  -131.49718  5244.82003   0.00962   -0.05125  -0.21912
 22    -4.74521  -131.49927  5276.24827   0.06895   -0.05184  -0.22040
 23    -4.74411  -131.50125  5298.09554  -0.04332   -0.05859  -0.25507
 24    -4.74283  -131.50308  5317.21019  -0.06700   -0.06632  -0.28713
 25    -4.74146  -131.50481  5342.88971  -0.00254   -0.04654  -0.20045
 26    -4.74001  -131.50651  5376.95498   0.01107   -0.04381  -0.18722
