Bootstrap Inversion Results (± 2σ uncertainty)

   Station: EC05 
       Lat:    -7.85622 ° ± 0.00001
       Lon:  -132.32978 ° ± 0.00002
         X:  -262.23033 m ± 1.98941
         Y:  -311.35583 m ± 1.39715
     Depth: -4587.58817 m ± 5.62355
       TAT:     8.18312 m ± 3.60360
Water Vel.:  1501.21676 m ± 1.69591
     Drift:   407.07246 m ± 1.65693
  Drift Az:   220.10469 m ± 0.25036
        dz:    13.41183 m ± 5.62355

       RMS:     2.19415 ms ± 0.59595

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -7.85355  -132.32764  4603.38894   0.07755   0.05025   0.20793
  2    -7.85354  -132.32765  4603.60869   0.00011   0.04088   0.16627
  3    -7.85352  -132.32766  4599.94879  -0.01003   0.05163   0.21201
  4    -7.85356  -132.32755  4606.56700   0.04903   0.03725   0.14874
  5    -7.85412  -132.32668  4601.48710  -0.01152   0.04143   0.16630
  6    -7.85545  -132.32577  4606.68222   0.04397   0.05489   0.22545
  7    -7.85697  -132.32470  4620.93356  -0.06047   0.02276   0.08331
  8    -7.85914  -132.32315  4652.17143   0.00265   0.07620   0.32456
  9    -7.86080  -132.32203  4694.32459  -0.02280   0.05013   0.20624
 10    -7.86244  -132.32093  4744.91612  -0.01509   0.03160   0.12352
 11    -7.86409  -132.31985  4796.98378  -0.03634   0.04206   0.16920
 12    -7.86691  -132.31803  4911.99629  -0.04734   0.03656   0.14767
 13    -7.86966  -132.31613  5051.29909   0.02388   0.02737   0.10370
 14    -7.87317  -132.31673  5158.35919  -0.02259   0.04886   0.19944
 15    -7.87403  -132.31862  5141.64645  -0.02262   0.03811   0.15209
 16    -7.87502  -132.32211  5101.07443  -0.06827   0.04041   0.16097
 17    -7.87526  -132.32435  5085.21538   0.05964   0.04521   0.18371
 18    -7.87544  -132.32657  5067.08110   0.00166   0.06069   0.25328
 19    -7.87537  -132.32877  5052.16134  -0.01545   0.04934   0.20117
 20    -7.87518  -132.33096  5045.51871  -0.07134   0.04297   0.17543
 21    -7.87472  -132.33307  5037.75850   0.09085   0.06660   0.28244
 22    -7.87407  -132.33522  5031.05354  -0.04310   0.06133   0.25657
 23    -7.87325  -132.33732  5028.70626  -0.01624   0.05996   0.25004
 24    -7.87220  -132.33925  5026.32211  -0.09967   0.03499   0.13727
 25    -7.87082  -132.34092  5022.90338  -0.01961   0.05256   0.22036
 26    -7.86925  -132.34248  5011.28421  -0.00107   0.04239   0.17114
 27    -7.86756  -132.34389  5008.75480   0.03713   0.03885   0.15677
 28    -7.86576  -132.34517  5007.19488  -0.00678   0.05636   0.23461
 29    -7.86380  -132.34615  4996.76989  -0.00554   0.06070   0.25381
 30    -7.86178  -132.34708  5007.59983  -0.00303   0.04622   0.18704
 31    -7.85979  -132.34785  5017.01016  -0.00181   0.03232   0.12832
 32    -7.85776  -132.34840  5029.30911   0.04303   0.04256   0.17267
 33    -7.85560  -132.34875  5039.94945  -0.04194   0.05385   0.22331
 34    -7.85348  -132.34881  5049.26232   0.01257   0.03876   0.15682
 35    -7.85133  -132.34864  5075.83981   0.04297   0.05633   0.23217
 36    -7.84918  -132.34831  5083.03336   0.00738   0.03478   0.13768
 37    -7.84709  -132.34773  5098.57310   0.10372   0.03737   0.15202
 38    -7.84517  -132.34678  5103.02306  -0.01344   0.05275   0.21786
 39    -7.84336  -132.34569  5112.29456   0.00300   0.04785   0.19577
 40    -7.84154  -132.34461  5131.54635   0.03363   0.06722   0.28261
 41    -7.83983  -132.34342  5155.30901  -0.03549   0.04025   0.16027
 42    -7.83830  -132.34213  5177.99364  -0.06004   0.06098   0.25616
 43    -7.83699  -132.34060  5195.87578   0.04933   0.04769   0.19783
 44    -7.83573  -132.33898  5217.04043  -0.00659   0.05315   0.21804
 45    -7.83476  -132.33723  5229.62452   0.03820   0.05924   0.24611
 46    -7.83392  -132.33542  5245.79716  -0.00622   0.06291   0.26467
 47    -7.83322  -132.33353  5262.88284  -0.02880   0.04817   0.19793
 48    -7.83268  -132.33161  5281.07420   0.06970   0.05616   0.23659
 49    -7.83244  -132.32969  5286.16113   0.00428   0.05550   0.22953
 50    -7.83227  -132.32770  5304.06350   0.08192   0.05058   0.20802
 51    -7.83231  -132.32573  5310.73886  -0.05547   0.04305   0.17443
 52    -7.83249  -132.32378  5328.02982   0.02694   0.04438   0.18270
 53    -7.83293  -132.32187  5334.94069  -0.05795   0.04517   0.18251
 54    -7.83361  -132.31998  5332.18588  -0.01114   0.02511   0.09550
 55    -7.83446  -132.31815  5336.58167   0.02720   0.04907   0.19928
 56    -7.83549  -132.31631  5336.83400  -0.01279   0.04505   0.18529
 57    -7.84671  -132.30704  5335.58849  -0.10852   0.04281   0.17294
 58    -7.84762  -132.30685  5325.70426   0.03998   0.04585   0.18760
 59    -7.85012  -132.30604  5326.20270  -0.14914   0.04826   0.19840
 60    -7.85197  -132.30665  5263.80695   0.05911   0.05880   0.24564
 61    -7.85248  -132.30839  5177.42930   0.04789   0.05329   0.22226
 62    -7.85266  -132.30986  5104.67853   0.08025   0.05491   0.22966
 63    -7.85276  -132.31122  5042.77435  -0.06902   0.04132   0.16809
 64    -7.85281  -132.31248  4986.36894   0.03496   0.06684   0.27993
