Bootstrap Inversion Results (± 2σ uncertainty)

   Station: EE01 
       Lat:    -4.94698 ° ± 0.00002
       Lon:  -130.38143 ° ± 0.00001
         X:    39.18489 m ± 1.18434
         Y:  -102.83129 m ± 1.80521
     Depth: -4645.18064 m ± 3.67218
       TAT:    14.98692 m ± 1.80049
Water Vel.:  1501.37820 m ± 1.29144
     Drift:   110.04558 m ± 1.86102
  Drift Az:   159.14001 m ± 0.56993
        dz:    24.81936 m ± 3.67218

       RMS:     1.69113 ms ± 0.51740

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -4.94584  -130.38205  4647.41463  -0.02152   -0.02479  -0.12734
  2    -4.94584  -130.38205  4647.52286  -0.03053   -0.01948  -0.10112
  3    -4.94583  -130.38206  4648.49357   0.00646   -0.00257  -0.02248
  4    -4.94582  -130.38206  4648.46761  -0.04257   -0.01816  -0.09191
  5    -4.94580  -130.38207  4646.56968   0.01272   -0.02043  -0.10488
  6    -4.94579  -130.38204  4648.38664  -0.01498   -0.00710  -0.04301
  7    -4.94592  -130.38142  4648.13073   0.02930   -0.02597  -0.12780
  8    -4.94695  -130.38027  4644.63843  -0.09459   -0.01751  -0.09288
  9    -4.94803  -130.37871  4652.75920  -0.02654   -0.04061  -0.19329
 10    -4.94921  -130.37691  4678.49845   0.04499   -0.02984  -0.14531
 11    -4.95027  -130.37497  4713.93647  -0.03427   -0.00662  -0.04568
 12    -4.95131  -130.37300  4764.35694   0.00244   -0.01640  -0.08624
 13    -4.95233  -130.37103  4825.11267  -0.00183   -0.04831  -0.22797
 14    -4.95386  -130.36816  4932.28039   0.07339   -0.02565  -0.12559
 15    -4.95490  -130.36619  5021.48535  -0.01933   -0.02366  -0.11530
 16    -4.95596  -130.36420  5120.73537  -0.00054   0.01779   0.06653
 17    -4.95700  -130.36225  5225.96688  -0.04517   -0.00251  -0.02159
 18    -4.97185  -130.38305  5400.30977  -0.00413   -0.02445  -0.11986
 19    -4.97021  -130.38301  5311.91047   0.03297   -0.00001  -0.01371
 20    -4.96862  -130.38309  5230.15455   0.05027   -0.01227  -0.06374
 21    -4.96756  -130.38443  5183.93525  -0.00239   -0.02194  -0.10818
 22    -4.96659  -130.38810  5180.89688   0.11516   -0.03723  -0.17674
 23    -4.96576  -130.39034  5185.37096   0.00114   -0.03192  -0.15541
 24    -4.96503  -130.39196  5190.23591   0.00762   -0.01126  -0.06422
 25    -4.96300  -130.39552  5210.60680   0.03970   0.00550   0.01583
 26    -4.96192  -130.39681  5216.59991  -0.02596   -0.00770  -0.04729
 27    -4.96070  -130.39786  5212.11475   0.00245   -0.01229  -0.07009
 28    -4.95910  -130.39916  5217.04454  -0.00682   -0.01408  -0.07806
 29    -4.95787  -130.40000  5224.57495   0.00007   -0.00599  -0.04076
 30    -4.95660  -130.40077  5225.45015   0.02816   -0.01347  -0.07041
 31    -4.95528  -130.40145  5228.80939   0.01405   -0.03873  -0.18753
 32    -4.95378  -130.40207  5232.83514  -0.01858   -0.01054  -0.06432
 33    -4.95200  -130.40268  5235.91457   0.00929   -0.01083  -0.06219
 34    -4.94992  -130.40305  5240.35533  -0.05194   -0.00919  -0.05504
 35    -4.94777  -130.40293  5222.56039   0.05940   -0.00807  -0.04723
 36    -4.94565  -130.40277  5217.74606  -0.02829   -0.03319  -0.16087
 37    -4.94345  -130.40268  5223.70674   0.01475   -0.01913  -0.09875
 38    -4.94128  -130.40251  5238.02221  -0.03074   -0.02469  -0.12209
 39    -4.93911  -130.40216  5256.71853   0.02362   0.00375   0.00050
 40    -4.93721  -130.40142  5256.35008  -0.04891   -0.02278  -0.11561
 41    -4.93569  -130.40021  5242.08996   0.00219   -0.00501  -0.03941
 42    -4.93436  -130.39893  5225.12245  -0.03636   -0.02133  -0.10621
