Bootstrap Inversion Results (± 2σ uncertainty)

   Station: EE02 
       Lat:    -5.97635 ° ± 0.00001
       Lon:  -130.88959 ° ± 0.00002
         X:  -109.42709 m ± 2.04800
         Y:   -49.71323 m ± 1.10696
     Depth: -4632.92599 m ± 4.40078
       TAT:    11.36189 m ± 1.39833
Water Vel.:  1500.67793 m ± 1.23487
     Drift:   120.19143 m ± 2.06599
  Drift Az:   245.56688 m ± 0.51231
        dz:    19.07401 m ± 4.40078

       RMS:     1.80793 ms ± 0.60898

Bad Pings Removed: 1 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -5.97611  -130.88874  4634.02144   0.00122   0.04157   0.16758
  2    -5.97611  -130.88874  4634.48310  -0.01998   0.03687   0.14506
  3    -5.97611  -130.88874  4635.70409   0.00841   0.02496   0.09419
  4    -5.97612  -130.88873  4628.78568  -0.02329   0.04658   0.18939
  5    -5.97613  -130.88872  4631.64261   0.03626   0.03963   0.15887
  6    -5.97614  -130.88872  4632.54800  -0.00307   0.05263   0.21606
  7    -5.97614  -130.88874  4631.99258   0.04532   0.04724   0.19054
  8    -5.97622  -130.88806  4639.12952  -0.03097   0.04975   0.20373
  9    -5.97595  -130.88664  4641.76869   0.01167   0.04929   0.19949
 10    -5.97544  -130.88475  4664.01879   0.04097   0.03658   0.14610
 11    -5.97492  -130.88272  4697.74052  -0.01335   0.06327   0.26449
 12    -5.97435  -130.88065  4743.99506  -0.04836   0.06135   0.25550
 13    -5.97374  -130.87852  4800.67578  -0.00863   0.04229   0.17142
 14    -5.97314  -130.87642  4869.98356   0.05581   0.04792   0.19619
 15    -5.97241  -130.87381  4970.00660  -0.07055   0.05969   0.24816
 16    -5.97180  -130.87169  5063.23066   0.07294   0.05809   0.23962
 17    -5.97122  -130.86960  5164.57419   0.06410   0.05692   0.23658
 18    -5.97766  -130.86696  5270.86902  -0.00743   0.03238   0.12703
 19    -5.98233  -130.86775  5267.27983   0.04272   0.04689   0.19236
 20    -5.98944  -130.87148  5251.91224   0.03906   0.05586   0.22900
 21    -5.99125  -130.87271  5262.49415   0.01773   0.04593   0.18688
 22    -5.99433  -130.87597  5261.27235  -0.01260   0.03559   0.14099
 23    -5.99547  -130.87788  5254.91387   0.01535   0.05667   0.23726
 24    -5.99672  -130.88037  5254.41144  -0.03118   0.06424   0.26908
 25    -5.99742  -130.88256  5243.88198   0.06528   0.04402   0.17941
 26    -5.99789  -130.88489  5235.08980   0.00155   0.04240   0.17106
 27    -5.99812  -130.88708  5229.65394   0.00592   0.05841   0.24202
 28    -5.99835  -130.88925  5233.13076   0.00243   0.02185   0.08075
 29    -5.99834  -130.89139  5234.72301  -0.00437   0.05888   0.24476
 30    -5.99791  -130.89341  5225.84101   0.03052   0.03371   0.13365
 31    -5.99728  -130.89543  5221.84038   0.02376   0.05311   0.21771
 32    -5.99644  -130.89731  5208.27995  -0.08872   0.06236   0.25600
 33    -5.99534  -130.89909  5192.31670   0.03121   0.01229   0.03638
 34    -5.99418  -130.90090  5186.72239   0.02507   0.04076   0.16372
 35    -5.99287  -130.90254  5180.31775   0.04034   0.04167   0.16846
 36    -5.99140  -130.90408  5176.88136  -0.04959   0.05441   0.22559
 37    -5.98976  -130.90549  5172.60468   0.01628   0.05389   0.22210
 38    -5.98803  -130.90670  5167.63414  -0.01876   0.06107   0.25490
 39    -5.98623  -130.90772  5169.10518   0.01743   0.04471   0.18196
 40    -5.98441  -130.90854  5163.78773  -0.00917   0.06927   0.28917
 41    -5.98249  -130.90923  5161.47756  -0.02393   0.04213   0.16916
 42    -5.98055  -130.90975  5163.22270   0.00233   0.06293   0.26303
 43    -5.97860  -130.91009  5163.46707  -0.03529   0.03797   0.15325
 44    -5.97666  -130.91006  5155.93101  -0.02367   0.05170   0.21233
 45    -5.97471  -130.90985  5154.34384  -0.02537   0.06576   0.27402
 46    -5.97281  -130.90963  5150.54667   0.00930   0.07310   0.30902
 47    -5.97105  -130.90922  5149.62369   0.02764   0.05755   0.23898
 48    -5.96932  -130.90855  5148.93110   0.01550   0.05143   0.21086
 49    -5.96759  -130.90788  5151.31133  -0.06013   0.04527   0.18617
 50    -5.96600  -130.90716  5152.62332  -0.01109   0.04051   0.16055
 51    -5.96456  -130.90627  5157.83356   0.01399   0.05646   0.23229
 52    -5.96313  -130.90519  5154.59319   0.01403   0.05006   0.20694
 53    -5.96180  -130.90400  5159.43102  -0.01967   0.05076   0.20774
 54    -5.96063  -130.90272  5157.06308  -0.02545   0.06337   0.26375
 55    -5.95926  -130.90126  5168.58575   0.03721   0.04998   0.20420
 56    -5.95795  -130.89953  5177.36642   0.01208   0.07291   0.30699
 57    -5.95678  -130.89766  5192.55467   0.01196   0.05222   0.21492
 58    -5.95589  -130.89565  5204.02748   0.05230   0.06065   0.25247
 59    -5.95537  -130.89352  5201.54772  -0.01992   0.03290   0.13155
 60    -5.95517  -130.89133  5194.98100  -0.02542   0.06565   0.27448
 61    -5.95498  -130.88914  5205.13845  -0.07082   0.07031   0.29799
 62    -5.95483  -130.88579  5226.71580  -0.07901   0.05053   0.20787
 63    -5.95559  -130.88312  5220.48566  -0.01676   0.04972   0.20448
 64    -5.95705  -130.88168  5174.48713  -0.04132   0.04486   0.18285
 65    -5.95918  -130.88240  5071.57380  -0.02348   0.04622   0.19157
 66    -5.96150  -130.88303  4966.76505   0.01333   0.02902   0.11147
