Bootstrap Inversion Results (± 2σ uncertainty)

   Station: EE03 
       Lat:    -7.06435 ° ± 0.00001
       Lon:  -131.17881 ° ± 0.00001
         X:  -133.44818 m ± 1.59986
         Y:  -160.21587 m ± 1.65364
     Depth: -4629.43854 m ± 6.23107
       TAT:     7.95092 m ± 2.32929
Water Vel.:  1500.34572 m ± 1.70988
     Drift:   208.51373 m ± 1.88894
  Drift Az:   219.79181 m ± 0.36111
        dz:    37.56146 m ± 6.23107

       RMS:     2.22599 ms ± 0.45766

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -7.06300  -131.17791  4633.26127  -0.02626   0.08781   0.37190
  2    -7.06300  -131.17791  4629.02030   0.05608   0.08334   0.35549
  3    -7.06297  -131.17792  4635.26121  -0.01068   0.08073   0.34394
  4    -7.06295  -131.17790  4634.38247  -0.00311   0.07249   0.30401
  5    -7.06299  -131.17724  4633.59819  -0.02165   0.08138   0.34703
  6    -7.06277  -131.17607  4640.94064   0.00048   0.11038   0.47764
  7    -7.06197  -131.17460  4659.91464   0.01111   0.11215   0.48376
  8    -7.06104  -131.17282  4689.60768   0.10029   0.10467   0.45054
  9    -7.06011  -131.17083  4739.47118  -0.02231   0.10565   0.45580
 10    -7.05919  -131.16884  4792.36694   0.01701   0.08663   0.36844
 11    -7.05827  -131.16683  4856.44805   0.00693   0.08878   0.37806
 12    -7.05733  -131.16477  4939.70686   0.05839   0.10045   0.43275
 13    -7.05645  -131.16276  5032.61401  -0.02022   0.10598   0.45556
 14    -7.05548  -131.16072  5137.16185  -0.02115   0.09891   0.42243
 15    -7.05469  -131.15821  5267.00949  -0.05900   0.09176   0.39018
 16    -7.05631  -131.15711  5281.13677  -0.05152   0.06731   0.28080
 17    -7.06377  -131.15585  5277.36093  -0.06321   0.09367   0.39881
 18    -7.06754  -131.15622  5270.71328   0.11334   0.08905   0.37971
 19    -7.07068  -131.15702  5264.81329  -0.05105   0.09925   0.42806
 20    -7.07315  -131.15806  5255.84112  -0.00662   0.11075   0.47760
 21    -7.07505  -131.15914  5251.28559   0.04695   0.07677   0.32329
 22    -7.07693  -131.16041  5240.38747   0.03414   0.10183   0.43499
 23    -7.07870  -131.16202  5232.71009   0.02967   0.09967   0.42571
 24    -7.08029  -131.16368  5226.86320  -0.00887   0.10408   0.44564
 25    -7.08161  -131.16545  5222.04408   0.00274   0.08474   0.36285
 26    -7.08270  -131.16729  5208.29669  -0.04062   0.08977   0.38343
 27    -7.08362  -131.16905  5210.69549  -0.07800   0.12051   0.52143
 28    -7.08412  -131.17111  5187.94317  -0.01665   0.09791   0.41771
 29    -7.08476  -131.17336  5185.23690  -0.03095   0.10094   0.43127
 30    -7.08493  -131.17591  5171.05941  -0.04635   0.08848   0.37494
 31    -7.08505  -131.17834  5167.32421  -0.01439   0.08813   0.37488
 32    -7.08494  -131.18053  5158.00454   0.05107   0.08796   0.37602
 33    -7.08457  -131.18265  5154.06248   0.01910   0.06970   0.29048
 34    -7.08386  -131.18473  5150.95487   0.00290   0.10203   0.43884
 35    -7.08288  -131.18670  5130.21202   0.00180   0.08542   0.36462
 36    -7.08175  -131.18853  5126.71287  -0.05740   0.09520   0.40789
 37    -7.08055  -131.19040  5126.08710   0.08584   0.09029   0.38435
 38    -7.07920  -131.19215  5128.36975   0.02927   0.08685   0.36962
 39    -7.07758  -131.19370  5128.71921   0.08134   0.08832   0.37701
 40    -7.07573  -131.19526  5129.94482   0.08675   0.08162   0.34530
 41    -7.07359  -131.19642  5135.38784  -0.02473   0.10487   0.45342
 42    -7.07135  -131.19742  5117.58563  -0.00245   0.09714   0.41753
 43    -7.06902  -131.19824  5126.87743   0.02227   0.08047   0.34167
 44    -7.06665  -131.19865  5130.54153   0.00743   0.08976   0.38453
 45    -7.06423  -131.19867  5121.16140   0.03061   0.09055   0.38737
 46    -7.06185  -131.19866  5128.87761  -0.09631   0.08307   0.35369
 47    -7.05943  -131.19858  5149.68771  -0.07047   0.07966   0.33890
 48    -7.05712  -131.19800  5153.86892   0.00718   0.09988   0.42982
 49    -7.05495  -131.19715  5161.60401   0.00706   0.09877   0.42120
 50    -7.05283  -131.19619  5170.60782   0.01185   0.09719   0.41695
 51    -7.05081  -131.19495  5180.09431   0.01474   0.08542   0.36412
 52    -7.04900  -131.19351  5192.98395  -0.06845   0.10698   0.46153
 53    -7.04748  -131.19188  5193.59820  -0.03613   0.08144   0.34761
 54    -7.04603  -131.19010  5207.47636  -0.09872   0.08887   0.38005
 55    -7.04481  -131.18825  5214.61689   0.02325   0.09939   0.42630
 56    -7.04377  -131.18629  5227.08409  -0.00994   0.09913   0.42751
 57    -7.04290  -131.18420  5232.97315   0.04094   0.08570   0.36598
 58    -7.04218  -131.18146  5249.63399   0.00020   0.08262   0.35070
 59    -7.04199  -131.17860  5248.47244  -0.04976   0.09904   0.42401
 60    -7.04225  -131.17642  5238.03376   0.01705   0.07789   0.32957
 61    -7.04412  -131.17580  5149.57828   0.00340   0.07969   0.33931
 62    -7.04570  -131.17595  5077.31110   0.05724   0.08896   0.37729
 63    -7.04724  -131.17595  5009.66206  -0.03360   0.09974   0.42819
