Bootstrap Inversion Results (± 2σ uncertainty)

   Station: WC01 
       Lat:    -4.14331 ° ± 0.00002
       Lon:  -133.66494 ° ± 0.00004
         X:   249.57146 m ± 4.05578
         Y:   172.92309 m ± 2.43384
     Depth: -4483.32263 m ± 5.58638
       TAT:    10.69496 m ± 1.86573
Water Vel.:  1498.10705 m ± 1.96008
     Drift:   303.62626 m ± 4.46854
  Drift Az:    55.28232 m ± 0.29297
        dz:   -18.32263 m ± 5.58638

       RMS:     2.90415 ms ± 1.81393

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -4.13835  -133.67112  4568.58055  -0.05908   0.04138   0.19380
  2    -4.13971  -133.67103  4554.46143   0.06832   0.04820   0.22467
  3    -4.14096  -133.67092  4541.30006   0.01817   0.05889   0.26698
  4    -4.14246  -133.67072  4529.79590   0.05894   0.05216   0.24110
  5    -4.14419  -133.67070  4527.15784  -0.05981   0.03353   0.15846
  6    -4.14551  -133.67018  4527.24334  -0.02833   0.03568   0.16909
  7    -4.14557  -133.66956  4520.00830  -0.06359   0.04430   0.20614
  8    -4.14508  -133.66868  4497.29163   0.03550   0.05595   0.25722
  9    -4.14469  -133.66802  4498.68989   0.08678   0.05833   0.26661
 10    -4.14433  -133.66737  4489.28311   0.04720   0.04833   0.22187
 11    -4.14411  -133.66700  4495.78659  -0.01427   0.03765   0.18073
 12    -4.14391  -133.66663  4487.32445  -0.09612   0.04326   0.20102
 13    -4.14305  -133.66490  4487.50430  -0.08860   0.04269   0.19907
 14    -4.14218  -133.66314  4488.26121  -0.01176   0.05930   0.26996
 15    -4.14129  -133.66141  4503.89555  -0.03466   0.05515   0.25506
 16    -4.14044  -133.65964  4530.03416   0.06597   0.05742   0.26313
 17    -4.13958  -133.65792  4570.58742   0.12092   0.05201   0.23997
 18    -4.13873  -133.65622  4609.84105  -0.03575   0.05118   0.23442
 19    -4.13789  -133.65454  4668.95318   0.05284   0.05343   0.24244
 20    -4.13703  -133.65281  4729.78604  -0.10988   0.05825   0.26675
 21    -4.13619  -133.65112  4802.89484  -0.01203   0.04633   0.21247
 22    -4.13602  -133.64942  4869.78208   0.00654   0.04342   0.20248
 23    -4.13749  -133.64852  4881.24238   0.00897   0.04961   0.22852
 24    -4.13978  -133.64772  4888.17430   0.06739   0.05809   0.26585
 25    -4.14386  -133.64711  4901.10092   0.00180   0.05794   0.26734
 26    -4.14839  -133.64743  4916.21740  -0.05262   0.04882   0.22354
 27    -4.15050  -133.64781  4931.54815  -0.09363   0.06288   0.28376
 28    -4.15255  -133.64839  4954.32628  -0.00681   0.06006   0.27275
 29    -4.15458  -133.64915  4969.38126   0.03861   0.06611   0.29964
 30    -4.15651  -133.65023  4993.46808   0.09483   0.05451   0.25292
 31    -4.15826  -133.65153  5005.73361   0.03860   0.05600   0.25577
 32    -4.15987  -133.65306  5020.30117  -0.03558   0.04465   0.20574
 33    -4.16139  -133.65473  5042.14064   0.03540   0.05494   0.25120
 34    -4.16276  -133.65648  5062.74977   0.11444   0.04068   0.19247
 35    -4.16399  -133.65841  5084.51124   0.04933   0.06408   0.29741
 36    -4.16497  -133.66040  5112.21195  -0.00899   0.04700   0.21713
 37    -4.16571  -133.66268  5132.89970   0.05634   0.04550   0.21232
 38    -4.16614  -133.66503  5139.06624   0.11089   0.05251   0.23990
 39    -4.16634  -133.66738  5166.64346  -0.00793   0.03329   0.15936
 40    -4.16622  -133.66975  5175.62200  -0.00341   0.05122   0.23595
 41    -4.16594  -133.67211  5197.83451   0.00308   0.04219   0.19642
 42    -4.16547  -133.67445  5212.76834   0.02129   0.06212   0.28206
 43    -4.16475  -133.67671  5237.58352   0.00437   0.03378   0.16076
 44    -4.16336  -133.67923  5248.16431   0.02259   0.05526   0.25218
 45    -4.16205  -133.68110  5249.53504   0.02555   0.05395   0.24626
 46    -4.16072  -133.68287  5269.82125  -0.09729   0.04052   0.18814
 47    -4.15773  -133.68551  5273.13770   0.06629   0.04758   0.21826
 48    -4.15537  -133.68697  5275.15434  -0.06452   0.06402   0.28909
 49    -4.15191  -133.68872  5285.89687  -0.04366   0.04799   0.22585
 50    -4.14019  -133.68934  5246.13920   0.05309   0.04952   0.23154
 51    -4.13828  -133.68884  5240.65968  -0.14054   0.05068   0.23439
 52    -4.12916  -133.68319  5165.33452  -0.00417   0.03274   0.15542
 53    -4.12785  -133.68179  5153.13097   0.03310   0.05772   0.26203
 54    -4.12642  -133.67982  5129.24909   0.02733   0.05121   0.23511
 55    -4.12552  -133.67812  5105.29611  -0.11884   0.05635   0.25998
 56    -4.12477  -133.67640  5090.42330  -0.10918   0.03577   0.16859
 57    -4.12346  -133.67223  5048.67878   0.09370   0.04572   0.20883
 58    -4.12320  -133.66894  5026.46332  -0.04489   0.04657   0.21676
 59    -4.12428  -133.66774  4963.72562  -0.11829   0.04177   0.19623
 60    -4.12753  -133.66789  4821.01458   0.00246   0.04604   0.21093
 61    -4.13249  -133.66777  4652.67118  -0.10828   0.06369   0.28931
 62    -4.13381  -133.66776  4615.97108  -0.02748   0.04600   0.21269
 63    -4.13509  -133.66773  4583.71313   0.03676   0.04687   0.21797
 64    -4.13635  -133.66771  4556.38979   0.04270   0.04758   0.22268
 65    -4.13759  -133.66770  4541.18414   0.00834   0.06778   0.30574
 66    -4.13885  -133.66770  4519.97456   0.05894   0.05973   0.27298
