Bootstrap Inversion Results (± 2σ uncertainty)

   Station: WC05 
       Lat:    -7.26945 ° ± 0.00001
       Lon:  -134.51766 ° ± 0.00001
         X:  -100.27049 m ± 1.28104
         Y:    20.37580 m ± 1.21652
     Depth: -4479.07721 m ± 3.19108
       TAT:    11.80822 m ± 1.13250
Water Vel.:  1500.08422 m ± 1.07648
     Drift:   102.32177 m ± 1.23056
  Drift Az:   281.48701 m ± 0.70974
        dz:    23.92279 m ± 3.19108

       RMS:     1.54459 ms ± 0.40525

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -7.26771  -134.51452  4496.65201  -0.03663   0.06894   0.29808
  2    -7.26817  -134.51552  4490.21817   0.00053   0.07405   0.32097
  3    -7.26872  -134.51653  4476.81727  -0.00379   0.08362   0.36189
  4    -7.26941  -134.51680  4479.85929   0.02234   0.08038   0.34531
  5    -7.26990  -134.51667  4478.95072   0.02403   0.11063   0.47445
  6    -7.27025  -134.51659  4482.36758   0.05408   0.10527   0.45323
  7    -7.27144  -134.51627  4488.07002   0.01373   0.09544   0.41276
  8    -7.27274  -134.51588  4498.71556   0.04660   0.08116   0.35007
  9    -7.27428  -134.51542  4518.17006   0.04410   0.09048   0.38733
 10    -7.27608  -134.51484  4550.61138   0.02862   0.09878   0.42911
 11    -7.27801  -134.51419  4594.32438  -0.02206   0.09239   0.39716
 12    -7.27994  -134.51356  4647.55133  -0.02533   0.06716   0.29088
 13    -7.28247  -134.51282  4735.67447   0.01978   0.09210   0.39745
 14    -7.28443  -134.51225  4812.95076   0.01998   0.09967   0.42947
 15    -7.28630  -134.51162  4896.95432  -0.06291   0.08971   0.38695
 16    -7.28822  -134.51097  4993.82063  -0.00138   0.09421   0.40727
 17    -7.28999  -134.51028  5087.64545  -0.02770   0.07816   0.33954
 18    -7.29177  -134.51963  5119.42515  -0.03483   0.09738   0.42286
 19    -7.28158  -134.53538  5068.17548  -0.00784   0.07660   0.33134
 20    -7.27978  -134.53633  5060.31504  -0.00059   0.07458   0.32321
 21    -7.27695  -134.53759  5061.86149  -0.00568   0.08221   0.35454
 22    -7.27505  -134.53817  5055.61454  -0.05507   0.09376   0.40390
 23    -7.27321  -134.53844  5052.41592  -0.03925   0.09616   0.41300
 24    -7.27132  -134.53857  5043.40177  -0.01702   0.07741   0.33353
 25    -7.26947  -134.53853  5039.01617   0.01318   0.09048   0.38964
 26    -7.26769  -134.53835  5032.91790   0.02969   0.10435   0.45054
 27    -7.26586  -134.53801  5026.53573  -0.00119   0.09359   0.40603
 28    -7.26409  -134.53751  5022.82690   0.00315   0.09793   0.42379
 29    -7.26232  -134.53691  5021.04040   0.02296   0.10286   0.44305
 30    -7.26071  -134.53617  5017.96907   0.05484   0.09907   0.42802
 31    -7.25908  -134.53535  5021.79116   0.02717   0.08873   0.37871
 32    -7.25736  -134.53449  5029.17710  -0.04006   0.07450   0.31747
 33    -7.25594  -134.53332  5028.86572   0.02335   0.08361   0.36118
 34    -7.25464  -134.53193  5023.48651   0.01255   0.09992   0.42894
 35    -7.25337  -134.53044  5018.93548   0.02620   0.10113   0.43845
 36    -7.25230  -134.52881  5018.75062   0.04832   0.09274   0.39987
 37    -7.25127  -134.52717  5022.08105   0.06474   0.08382   0.35972
 38    -7.25045  -134.52544  5017.71673  -0.01027   0.09970   0.42819
 39    -7.24973  -134.52365  5024.11015  -0.00850   0.08974   0.38690
 40    -7.24912  -134.52181  5034.57314  -0.00602   0.09156   0.39345
 41    -7.24873  -134.51991  5037.62697   0.01389   0.08703   0.37561
 42    -7.24859  -134.51798  5039.33987   0.03902   0.08953   0.38866
 43    -7.24865  -134.51599  5037.46750   0.00182   0.10389   0.44586
 44    -7.24892  -134.51402  5036.13639  -0.01446   0.07661   0.32929
 45    -7.24927  -134.51204  5043.19469  -0.03610   0.09764   0.41975
 46    -7.24966  -134.51006  5055.67846  -0.02343   0.08851   0.37752
 47    -7.25030  -134.50813  5065.07816  -0.05301   0.07792   0.33743
 48    -7.25122  -134.50634  5070.28160  -0.06278   0.08364   0.35978
 49    -7.25227  -134.50460  5072.78988  -0.04508   0.09762   0.41976
 50    -7.25347  -134.50296  5081.41812  -0.02041   0.08145   0.34950
 51    -7.25482  -134.50143  5088.27487   0.00105   0.08207   0.35494
 52    -7.25628  -134.50008  5094.80264   0.03364   0.09744   0.41796
 53    -7.25788  -134.49883  5100.59232  -0.03687   0.09439   0.41068
 54    -7.25958  -134.49774  5106.93125   0.01259   0.10453   0.45096
 55    -7.26143  -134.49677  5115.63012  -0.02297   0.08492   0.36502
 56    -7.26332  -134.49596  5122.67100   0.04722   0.09565   0.41670
 57    -7.26531  -134.49538  5130.39781   0.00332   0.09589   0.41030
 58    -7.26800  -134.49497  5136.62155  -0.05960   0.08818   0.37955
 59    -7.27013  -134.49480  5141.74437   0.06348   0.12846   0.55367
 60    -7.27278  -134.49490  5148.90720  -0.05081   0.07808   0.33639
 61    -7.27604  -134.49615  5121.32044  -0.01677   0.07614   0.33134
 62    -7.27549  -134.50033  4916.62706  -0.06604   0.07849   0.33887
 63    -7.27383  -134.50670  4662.31293   0.02425   0.08737   0.37927
 64    -7.27329  -134.50840  4615.76239   0.00693   0.09042   0.39237
 65    -7.27286  -134.50982  4579.26403   0.05443   0.10144   0.43715
