Bootstrap Inversion Results (± 2σ uncertainty)

   Station: WW01 
       Lat:    -3.78521 ° ± 0.00001
       Lon:  -134.73696 ° ± 0.00001
         X:   117.63749 m ± 1.05316
         Y:   195.60380 m ± 1.49633
     Depth: -4534.33361 m ± 3.24025
       TAT:    13.35936 m ± 1.06049
Water Vel.:  1499.72247 m ± 1.01488
     Drift:   228.25355 m ± 1.52332
  Drift Az:    31.02308 m ± 0.25451
        dz:    47.66639 m ± 3.24025

       RMS:     1.56998 ms ± 0.32068

Bad Pings Removed: 0 
================================================================================ 
       Lat (°)   Lon (°)     Range (m)   Resid (s)  Vr (m/s)  TWT corr. (ms)
  1    -3.78659  -134.73933  4544.50268  -0.00619   -0.00547  -0.02995
  2    -3.78659  -134.73940  4544.16066   0.01613   -0.02209  -0.10340
  3    -3.78661  -134.73933  4546.32004  -0.03327   -0.01543  -0.07438
  4    -3.78651  -134.73890  4542.25190  -0.01208   -0.01620  -0.07606
  5    -3.78610  -134.73839  4538.93789   0.01823   -0.01353  -0.06476
  6    -3.78531  -134.73808  4534.33697   0.03748   -0.00888  -0.04449
  7    -3.78412  -134.73822  4537.57140   0.05469   -0.03647  -0.16337
  8    -3.78258  -134.73861  4545.22780   0.00271   -0.02049  -0.09650
  9    -3.78084  -134.73907  4567.04045  -0.01281   -0.00945  -0.04897
 10    -3.77897  -134.73958  4596.19157   0.00988   -0.03383  -0.15327
 11    -3.77705  -134.74014  4637.89656  -0.02893   -0.00846  -0.04095
 12    -3.77509  -134.74064  4688.14648   0.08712   -0.02347  -0.10979
 13    -3.77274  -134.74131  4763.18132   0.00003   -0.03052  -0.14178
 14    -3.77082  -134.74180  4834.32072  -0.04671   -0.01029  -0.05401
 15    -3.76668  -134.74197  5006.78826  -0.01259   -0.03699  -0.16867
 16    -3.76506  -134.73548  5054.32232   0.01444   -0.03016  -0.14108
 17    -3.76535  -134.73309  5054.40939  -0.00079   -0.01849  -0.08731
 18    -3.76586  -134.73119  5054.11206  -0.00387   -0.03657  -0.16569
 19    -3.76662  -134.72937  5048.56512  -0.05408   -0.02660  -0.12407
 20    -3.76885  -134.72572  5038.70210  -0.03634   -0.01871  -0.08700
 21    -3.77018  -134.72418  5034.97071  -0.03886   -0.02652  -0.12464
