Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000023) 
Lon:   -131.91041 deg (0.000014) 
X:     -291.258433 m (1.533093) 
Y:    -170.441263 m (2.591804) 
Depth: -4741.857622 m (5.287483) 
TAT:   14.474329 ms (0.484844) 
Water Vel.: 1506.486452 m/s (1.593424)
Drift Lon: -291.258433 m (1.533093) 
Drift Lat: -170.441263 m (2.591804) 
Drift:    337.465504 m (1.998140) 
Drift Azi: 239.664571 deg (0.382489)
dz: 89.142378 m (5.287483)

RMS:  1.620472 ms (0.411139)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4789.941941  -1.454733  -0.282328  -1.194322
  2:  -6.291727 -131.904583 4785.535461   0.273175  -0.277208  -1.171761
  3:  -6.291528 -131.905462 4773.404783  -0.558339  -0.248720  -1.048611
  4:  -6.291453 -131.905705 4770.414889  -0.572193  -0.231660  -0.976087
  5:  -6.291395 -131.905908 4768.040186   0.458514  -0.215671  -0.908309
  6:  -6.291107 -131.907010 4757.118376   0.011914  -0.162100  -0.681135
  7:  -6.291060 -131.907202 4755.551553   0.093754  -0.149427  -0.627665
  8:  -6.290200 -131.908420 4749.579997  -0.889888   0.031941   0.133994
  9:  -6.288767 -131.908090 4759.295490  -0.796213   0.245291   1.031094
 10:  -6.287128 -131.907217 4780.911114  -0.529453   0.460079   1.942712
 11:  -6.285167 -131.906347 4816.336160  -0.560392   0.691008   2.939366
 12:  -6.283137 -131.905523 4863.974267  -0.788119   0.886610   3.808400
 13:  -6.281080 -131.904713 4923.595873   2.789543   1.084240   4.716574
 14:  -6.278448 -131.903692 5016.012662   3.942254   0.990436   4.390648
 15:  -6.273580 -131.905212 5176.575807  -3.314472   0.289832   1.323817
 16:  -6.273465 -131.907800 5157.541803   2.062939  -0.196358  -0.894828
 17:  -6.273525 -131.910430 5146.852439  -0.378147  -0.157702  -0.716721
 18:  -6.273922 -131.912477 5135.039087  -0.588967  -0.477669  -2.165803
 19:  -6.283453 -131.922892 5020.758909   0.007909  -0.044045  -0.195300
 20:  -6.286257 -131.923725 5000.724142   0.535474  -0.221556  -0.978631
 21:  -6.288412 -131.924007 4987.390263  -1.530788  -0.207666  -0.914405
 22:  -6.290513 -131.923982 4975.416347  -0.727427  -0.171834  -0.754959
 23:  -6.293153 -131.923657 4966.059851  -1.252195  -0.067614  -0.296484
 24:  -6.295177 -131.923190 4963.762893  -0.293209  -0.035948  -0.157585
 25:  -6.297157 -131.922403 4961.904090   0.101737  -0.038292  -0.167819
 26:  -6.298990 -131.921278 4959.330842   0.502486  -0.025720  -0.112665
 27:  -6.301560 -131.919178 4963.279296  -0.648691   0.113884   0.499143
 28:  -6.303075 -131.917572 4971.640498  -0.702988   0.133593   0.586517
 29:  -6.305237 -131.914290 4993.642222   3.710771   0.197397   0.871167
 30:  -6.305837 -131.912313 5000.081580  -0.528856   0.083189   0.367325
 31:  -6.306145 -131.909607 5007.282230   2.714661   0.215081   0.951599
 32:  -6.306398 -131.907475 5026.065795   0.905319   0.308510   1.369650
 33:  -6.306340 -131.905357 5044.561164   3.184124   0.258600   1.152738
 34:  -6.305842 -131.903327 5056.974833  -0.103023   0.237706   1.061600
 35:  -6.305165 -131.901338 5073.128532  -0.486546   0.298558   1.337513
 36:  -6.304345 -131.899448 5092.828946  -0.612376   0.319667   1.437561
 37:  -6.303232 -131.897627 5112.269232  -2.328810   0.297350   1.341902
 38:  -6.301868 -131.896037 5128.317152  -2.585186   0.254085   1.150176
 39:  -6.300270 -131.894625 5143.114894  -1.328795   0.267318   1.213855
 40:  -6.298510 -131.893337 5160.968632  -0.117436   0.281586   1.283319
 41:  -6.296587 -131.892307 5176.916189  -1.199050   0.303089   1.385331
 42:  -6.294602 -131.891417 5197.295768  -0.322405   0.258859   1.188018
 43:  -6.292435 -131.890960 5208.295753  -0.860990   0.164648   0.757117
 44:  -6.290087 -131.890790 5218.083920   0.002767   0.054970   0.253317
 45:  -6.287958 -131.891167 5213.870334  -0.334457  -0.715746  -3.295274
 46:  -6.287698 -131.893177 5129.398857   3.502737  -1.301940  -5.901348
 47:  -6.288135 -131.894955 5055.620629   1.602662  -1.171073  -5.230110
