Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29161 deg (0.000033) 
Lon:   -131.91041 deg (0.000019) 
X:     -291.486045 m (2.058134) 
Y:    -169.562616 m (3.643194) 
Depth: -4743.757682 m (7.982043) 
TAT:   14.745479 ms (1.011671) 
Water Vel.: 1507.054524 m/s (2.334217)
Drift Lon: -291.486045 m (2.058134) 
Drift Lat: -169.562616 m (3.643194) 
Drift:    337.220629 m (2.978360) 
Drift Azi: 239.813336 deg (0.499155)
dz: 87.242318 m (7.982043)

RMS:  2.367234 ms (0.842936)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4791.858857  -2.923789  -0.282400  -1.194350
  2:  -6.291727 -131.904583 4787.451077  -1.200645  -0.277283  -1.171813
  3:  -6.291528 -131.905462 4775.316597  -1.930787  -0.248844  -1.048865
  4:  -6.291453 -131.905705 4772.325089  -1.893875  -0.231808  -0.976413
  5:  -6.291395 -131.905908 4769.949075  -0.752935  -0.215789  -0.908607
  6:  -6.291107 -131.907010 4759.019928  -0.985794  -0.162211  -0.681407
  7:  -6.291060 -131.907202 4757.451765  -0.865981  -0.149677  -0.628544
  8:  -6.290200 -131.908420 4751.458551  -1.168840   0.031479   0.131999
  9:  -6.288767 -131.908090 4761.142705  -0.146543   0.244747   1.028363
 10:  -6.287128 -131.907217 4782.721294   0.983183   0.459459   1.939115
 11:  -6.285167 -131.906347 4818.098018   1.995251   0.690131   2.933944
 12:  -6.283137 -131.905523 4865.682598   2.680241   0.885729   3.802475
 13:  -6.281080 -131.904713 4925.247092   7.175920   1.083594   4.711424
 14:  -6.278448 -131.903692 5017.587634   8.181688   0.989869   4.386460
 15:  -6.273580 -131.905212 5178.003194  -1.807533   0.289539   1.322163
 16:  -6.273465 -131.907800 5158.959654   1.626589  -0.196488  -0.895043
 17:  -6.273525 -131.910430 5148.261499  -0.577097  -0.157704  -0.716449
 18:  -6.273922 -131.912477 5136.448856  -2.144541  -0.477412  -2.163551
 19:  -6.283453 -131.922892 5022.332943  -0.005020  -0.043497  -0.192799
 20:  -6.286257 -131.923725 5002.354739  -0.287742  -0.220783  -0.974788
 21:  -6.288412 -131.924007 4989.065767  -2.339764  -0.206991  -0.911116
 22:  -6.290513 -131.923982 4977.137040  -1.466250  -0.171064  -0.751243
 23:  -6.293153 -131.923657 4967.837069  -1.620556  -0.066849  -0.292998
 24:  -6.295177 -131.923190 4965.582893  -0.621599  -0.035277  -0.154594
 25:  -6.297157 -131.922403 4963.767522  -0.263129  -0.037589  -0.164673
 26:  -6.298990 -131.921278 4961.236858   0.124243  -0.025065  -0.109752
 27:  -6.301560 -131.919178 4965.244742  -0.574590   0.114469   0.501527
 28:  -6.303075 -131.917572 4973.640373  -0.607553   0.134139   0.588682
 29:  -6.305237 -131.914290 4995.691878   4.042912   0.197758   0.872413
 30:  -6.305837 -131.912313 5002.150205  -0.633635   0.083469   0.368422
 31:  -6.306145 -131.909607 5009.367469   3.061900   0.215235   0.951911
 32:  -6.306398 -131.907475 5028.158817   1.646954   0.308603   1.369552
 33:  -6.306340 -131.905357 5046.655964   3.731820   0.258569   1.152178
 34:  -6.305842 -131.903327 5059.065028   0.441020   0.237555   1.060541
 35:  -6.305165 -131.901338 5075.208987   0.303216   0.298326   1.336025
 36:  -6.304345 -131.899448 5094.895061   0.251605   0.319337   1.435675
 37:  -6.303232 -131.897627 5114.315312  -1.451784   0.296973   1.339707
 38:  -6.301868 -131.896037 5130.338817  -1.898113   0.253671   1.147876
 39:  -6.300270 -131.894625 5145.107471  -0.496325   0.266866   1.211301
 40:  -6.298510 -131.893337 5162.927480   0.789837   0.280998   1.280262
 41:  -6.296587 -131.892307 5178.837929  -0.163885   0.302513   1.382301
 42:  -6.294602 -131.891417 5199.177190   0.611745   0.258147   1.184331
 43:  -6.292435 -131.890960 5210.135003  -0.296727   0.163952   0.753673
 44:  -6.290087 -131.890790 5219.876828   0.208118   0.054192   0.249634
 45:  -6.287958 -131.891167 5215.623221  -3.278769  -0.715862  -3.293987
 46:  -6.287698 -131.893177 5131.165810  -2.031971  -1.301151  -5.894737
 47:  -6.288135 -131.894955 5057.412891  -3.407019  -1.170310  -5.224742
