Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000023) 
Lon:   -131.91041 deg (0.000013) 
X:     -291.250290 m (1.478380) 
Y:    -170.454915 m (2.541404) 
Depth: -4742.030966 m (5.359652) 
TAT:   14.000000 ms (0.000000) 
Water Vel.: 1506.428082 m/s (1.599273)
Drift Lon: -291.250290 m (1.478380) 
Drift Lat: -170.454915 m (2.541404) 
Drift:    337.465229 m (1.988638) 
Drift Azi: 239.661877 deg (0.367683)
dz: 88.969034 m (5.359652)

RMS:  1.620301 ms (0.420076)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4790.112337  -1.450495  -0.282324  -1.194376
  2:  -6.291727 -131.904583 4785.706091   0.272119  -0.277168  -1.171607
  3:  -6.291528 -131.905462 4773.576076  -0.546544  -0.248708  -1.048606
  4:  -6.291453 -131.905705 4770.586359  -0.579817  -0.231633  -0.975995
  5:  -6.291395 -131.905908 4768.211797   0.468531  -0.215637  -0.908198
  6:  -6.291107 -131.907010 4757.290682   0.011970  -0.162104  -0.681158
  7:  -6.291060 -131.907202 4755.723967   0.088879  -0.149418  -0.627653
  8:  -6.290200 -131.908420 4749.753132  -0.896044   0.031912   0.133872
  9:  -6.288767 -131.908090 4759.468664  -0.810275   0.245302   1.031148
 10:  -6.287128 -131.907217 4781.083858  -0.527103   0.460145   1.943110
 11:  -6.285167 -131.906347 4816.508085  -0.557368   0.690959   2.939288
 12:  -6.283137 -131.905523 4864.144986  -0.797575   0.886655   3.808946
 13:  -6.281080 -131.904713 4923.765007   2.779635   1.084196   4.716644
 14:  -6.278448 -131.903692 5016.179288   3.966302   0.990337   4.390276
 15:  -6.273580 -131.905212 5176.738950  -3.349194   0.289864   1.324037
 16:  -6.273465 -131.907800 5157.706034   2.098042  -0.196348  -0.894788
 17:  -6.273525 -131.910430 5147.017454  -0.347042  -0.157630  -0.716426
 18:  -6.273922 -131.912477 5135.204724  -0.637862  -0.477661  -2.165863
 19:  -6.283453 -131.922892 5020.927319   0.010473  -0.044050  -0.195329
 20:  -6.286257 -131.923725 5000.892531   0.537785  -0.221572  -0.978740
 21:  -6.288412 -131.924007 4987.558500  -1.551768  -0.207812  -0.915098
 22:  -6.290513 -131.923982 4975.584347  -0.720579  -0.171793  -0.754797
 23:  -6.293153 -131.923657 4966.227306  -1.242626  -0.067603  -0.296441
 24:  -6.295177 -131.923190 4963.929725  -0.307563  -0.035937  -0.157537
 25:  -6.297157 -131.922403 4962.070239   0.139520  -0.038362  -0.168126
 26:  -6.298990 -131.921278 4959.496315   0.516900  -0.025684  -0.112511
 27:  -6.301560 -131.919178 4963.443475  -0.628659   0.113834   0.498962
 28:  -6.303075 -131.917572 4971.803649  -0.723464   0.133582   0.586498
 29:  -6.305237 -131.914290 4993.803409   3.680283   0.197382   0.871125
 30:  -6.305837 -131.912313 5000.242022  -0.518844   0.083197   0.367369
 31:  -6.306145 -131.909607 5007.441861   2.682031   0.215066   0.951594
 32:  -6.306398 -131.907475 5026.224371   0.882113   0.308480   1.369571
 33:  -6.306340 -131.905357 5044.718798   3.183882   0.258608   1.152841
 34:  -6.305842 -131.903327 5057.131867  -0.069130   0.237739   1.061794
 35:  -6.305165 -131.901338 5073.284914  -0.462054   0.298555   1.337552
 36:  -6.304345 -131.899448 5092.984632  -0.630705   0.319599   1.437308
 37:  -6.303232 -131.897627 5112.424334  -2.299493   0.297346   1.341962
 38:  -6.301868 -131.896037 5128.471890  -2.579015   0.254146   1.150457
 39:  -6.300270 -131.894625 5143.269409  -1.337564   0.267368   1.214133
 40:  -6.298510 -131.893337 5161.122902  -0.136303   0.281620   1.283593
 41:  -6.296587 -131.892307 5177.070366  -1.189279   0.303099   1.385396
 42:  -6.294602 -131.891417 5197.449762  -0.339795   0.258855   1.188047
 43:  -6.292435 -131.890960 5208.449971  -0.885307   0.164644   0.757142
 44:  -6.290087 -131.890790 5218.238499   0.014966   0.054900   0.253000
 45:  -6.287958 -131.891167 5214.025719  -0.316074  -0.715720  -3.295169
 46:  -6.287698 -131.893177 5129.557231   3.494362  -1.301931  -5.901858
 47:  -6.288135 -131.894955 5055.781500   1.618622  -1.170993  -5.229887
