Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000028) 
Lon:   -131.91039 deg (0.000018) 
X:     -289.102856 m (2.021131) 
Y:    -170.656323 m (3.090475) 
Depth: -4719.882852 m (0.592851) 
TAT:   13.938701 ms (0.022255) 
Water Vel.: 1500.000000 m/s (0.000000)
Drift Lon: -289.102856 m (2.021131) 
Drift Lat: -170.656323 m (3.090475) 
Drift:    335.717246 m (2.349229) 
Drift Azi: 239.447112 deg (0.486147)
dz: 111.117148 m (0.592851)

RMS:  2.228741 ms (0.391188)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4767.882433   0.867753  -0.282700  -1.200908
  2:  -6.291727 -131.904583 4763.470283   2.690861  -0.277574  -1.178394
  3:  -6.291528 -131.905462 4751.328357   1.888396  -0.248860  -1.053675
  4:  -6.291453 -131.905705 4748.337161   1.906804  -0.231751  -0.980614
  5:  -6.291395 -131.905908 4745.961922   3.048757  -0.215692  -0.912377
  6:  -6.291107 -131.907010 4735.046130   2.584525  -0.161841  -0.682970
  7:  -6.291060 -131.907202 4733.481894   2.660986  -0.149036  -0.628732
  8:  -6.290200 -131.908420 4727.548257   1.603790   0.032608   0.137369
  9:  -6.288767 -131.908090 4737.299514   1.594659   0.246110   1.038912
 10:  -6.287128 -131.907217 4758.979461   1.697012   0.461748   1.958121
 11:  -6.285167 -131.906347 4794.533003   1.305831   0.693640   2.963231
 12:  -6.283137 -131.905523 4842.355022   0.596967   0.890080   3.839804
 13:  -6.281080 -131.904713 4902.210136   3.556487   1.088590   4.756413
 14:  -6.278448 -131.903692 4994.986356   3.750456   0.994503   4.427526
 15:  -6.273580 -131.905212 5156.297067  -5.389352   0.292080   1.340256
 16:  -6.273465 -131.907800 5137.308641   0.269255  -0.195573  -0.894943
 17:  -6.273525 -131.910430 5126.699179  -2.226595  -0.156645  -0.715032
 18:  -6.273922 -131.912477 5114.932880  -2.583909  -0.478222  -2.177825
 19:  -6.283453 -131.922892 5000.644662  -1.319611  -0.043519  -0.193804
 20:  -6.286257 -131.923725 4980.555502  -0.614424  -0.222147  -0.985442
 21:  -6.288412 -131.924007 4967.170687  -2.576938  -0.208622  -0.922664
 22:  -6.290513 -131.923982 4955.136618  -1.603085  -0.172727  -0.762187
 23:  -6.293153 -131.923657 4945.713382  -2.034818  -0.068314  -0.300857
 24:  -6.295177 -131.923190 4943.374716  -0.991229  -0.036801  -0.162021
 25:  -6.297157 -131.922403 4941.460740  -0.502641  -0.039379  -0.173322
 26:  -6.298990 -131.921278 4938.813679  -0.001989  -0.026972  -0.118658
 27:  -6.301560 -131.919178 4942.664816  -1.079417   0.113043   0.497614
 28:  -6.303075 -131.917572 4950.976151  -1.111725   0.132648   0.584888
 29:  -6.305237 -131.914290 4972.901562   3.285298   0.196723   0.871874
 30:  -6.305837 -131.912313 4979.270191  -0.872127   0.081880   0.363111
 31:  -6.306145 -131.909607 4986.369955   2.374162   0.214325   0.952317
 32:  -6.306398 -131.907475 5005.129214   0.495642   0.308100   1.373714
 33:  -6.306340 -131.905357 5023.601365   2.710258   0.258086   1.155367
 34:  -6.305842 -131.903327 5035.972908  -0.564103   0.237223   1.064026
 35:  -6.305165 -131.901338 5052.103073  -0.978840   0.298356   1.342403
 36:  -6.304345 -131.899448 5071.800118  -1.255411   0.319639   1.443702
 37:  -6.303232 -131.897627 5091.240558  -3.062153   0.297334   1.347718
 38:  -6.301868 -131.896037 5107.286645  -3.397232   0.254113   1.155368
 39:  -6.300270 -131.894625 5122.086828  -2.264379   0.267563   1.220266
 40:  -6.298510 -131.893337 5139.961963  -1.142299   0.281993   1.290774
 41:  -6.296587 -131.892307 5155.935715  -2.343784   0.303788   1.394590
 42:  -6.294602 -131.891417 5176.366003  -1.639626   0.259580   1.196492
 43:  -6.292435 -131.890960 5187.399303  -2.316461   0.165292   0.763428
 44:  -6.290087 -131.890790 5197.229765  -1.469229   0.055315   0.255996
 45:  -6.287958 -131.891167 5193.026303  -1.823648  -0.717623  -3.318290
 46:  -6.287698 -131.893177 5108.305218   2.769152  -1.305741  -5.943735
 47:  -6.288135 -131.894955 5034.300059   1.570056  -1.174590  -5.268426
