Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000033) 
Lon:   -131.91043 deg (0.000022) 
X:     -292.448603 m (2.471189) 
Y:    -171.001354 m (3.684765) 
Depth: -4750.279012 m (9.302110) 
TAT:   14.246226 ms (0.564977) 
Water Vel.: 1509.151190 m/s (2.864094)
Drift Lon: -292.703057 m (2.471189) 
Drift Lat: -171.001354 m (3.684765) 
Drift:    338.998191 m (2.597649) 
Drift Azi: 239.706228 deg (0.607514)
dz: 80.720988 m (9.302110)

RMS:  2.147288 ms (0.579431)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4798.421833  -1.252294  -0.281984  -1.190693
  2:  -6.291727 -131.904583 4794.020521   0.435126  -0.276885  -1.168219
  3:  -6.291528 -131.905462 4781.901502  -0.420567  -0.248563  -1.046094
  4:  -6.291453 -131.905705 4778.913489  -0.439424  -0.231543  -0.973873
  5:  -6.291395 -131.905908 4776.540001   0.603426  -0.215531  -0.906091
  6:  -6.291107 -131.907010 4765.618548   0.123871  -0.162166  -0.680203
  7:  -6.291060 -131.907202 4764.050671   0.184793  -0.149565  -0.627107
  8:  -6.290200 -131.908420 4758.074815  -0.789206   0.032258   0.135084
  9:  -6.288767 -131.908090 4767.856398  -0.764670   0.247003   1.036473
 10:  -6.287128 -131.907217 4789.609999  -0.607261   0.463116   1.952212
 11:  -6.285167 -131.906347 4825.270878  -0.858864   0.695733   2.954498
 12:  -6.283137 -131.905523 4873.235180  -1.392944   0.892695   3.827942
 13:  -6.281080 -131.904713 4933.269341   1.847622   1.091595   4.740180
 14:  -6.278448 -131.903692 5026.326892   2.450606   0.998248   4.417251
 15:  -6.273580 -131.905212 5188.496313  -6.262802   0.294610   1.342900
 16:  -6.273465 -131.907800 5169.516356  -0.891190  -0.196575  -0.893961
 17:  -6.273525 -131.910430 5158.742225  -3.321681  -0.160401  -0.727518
 18:  -6.273922 -131.912477 5146.683494  -3.345265  -0.484725  -2.193365
 19:  -6.283453 -131.922892 5028.611053   1.463415  -0.052166  -0.230912
 20:  -6.286257 -131.923725 5008.027305   2.570630  -0.227159  -1.001739
 21:  -6.288412 -131.924007 4994.449175   0.755462  -0.210634  -0.925993
 22:  -6.290513 -131.923982 4982.390126   1.660202  -0.172061  -0.754694
 23:  -6.293153 -131.923657 4973.121834   1.039575  -0.065120  -0.285067
 24:  -6.295177 -131.923190 4971.037755   1.729798  -0.031300  -0.136978
 25:  -6.297157 -131.922403 4969.529064   1.727272  -0.031556  -0.138055
 26:  -6.298990 -131.921278 4967.413986   1.564692  -0.017678  -0.077313
 27:  -6.301560 -131.919178 4972.180946  -0.587936   0.123234   0.539169
 28:  -6.303075 -131.917572 4981.114519  -1.343781   0.142781   0.625738
 29:  -6.305237 -131.914290 5004.053864   1.953112   0.204520   0.900941
 30:  -6.305837 -131.912313 5010.819314  -2.640055   0.087462   0.385489
 31:  -6.306145 -131.909607 5018.240665   0.328894   0.217443   0.960304
 32:  -6.306398 -131.907475 5037.145597  -1.633543   0.309283   1.370586
 33:  -6.306340 -131.905357 5055.612061   0.778490   0.256532   1.141461
 34:  -6.305842 -131.903327 5067.812839  -2.193618   0.233466   1.040787
 35:  -6.305165 -131.901338 5083.665068  -2.196217   0.293090   1.310684
 36:  -6.304345 -131.899448 5103.001541  -1.853008   0.312892   1.404625
 37:  -6.303232 -131.897627 5121.988198  -2.918578   0.289479   1.304135
 38:  -6.301868 -131.896037 5137.545812  -2.564773   0.245892   1.111119
 39:  -6.300270 -131.894625 5151.846057  -0.674827   0.259353   1.175646
 40:  -6.298510 -131.893337 5169.232089   1.160368   0.274329   1.248118
 41:  -6.296587 -131.892307 5184.782601   0.531382   0.297279   1.356499
 42:  -6.294602 -131.891417 5204.855071   1.854002   0.254870   1.167754
 43:  -6.292435 -131.890960 5215.685111   1.573524   0.163012   0.748377
 44:  -6.290087 -131.890790 5225.450854   2.476857   0.056188   0.258510
 45:  -6.287958 -131.891167 5221.394427   1.867121  -0.711807  -3.271980
 46:  -6.287698 -131.893177 5137.195807   5.246429  -1.298580  -5.876550
 47:  -6.288135 -131.894955 5063.585435   3.029905  -1.168516  -5.209455
