Bootstrap inversion results (2sigma uncertainty)
Station: syn12
Lat:   -7.54358 deg (0.000041) 
Lon:   -133.61819 deg (0.000053) 
X:     199.693063 m (5.857233) 
Y:    -398.352082 m (4.601474) 
Depth: -5063.531131 m (25.312230) 
TAT:   14.036884 ms (0.858403) 
Water Vel.: 1524.106788 m/s (6.938588)
Drift Lon: 199.435987 m (5.857233) 
Drift Lat: -398.352082 m (4.601474) 
Drift:    445.495899 m (5.043833) 
Drift Azi: 153.405513 deg (0.704846)
dz: -63.531131 m (25.312230)

RMS:  4.561947 ms (0.811546)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -7.539785 -133.620005 5085.041301   2.923293   0.000000   0.000000
  2:  -7.539785 -133.620005 5085.041301   5.442324   0.000000   0.000000
  3:  -7.539785 -133.620005 5085.041301   1.904503   0.000000   0.000000
  4:  -7.539785 -133.620005 5085.041301  -3.341964   0.000000   0.000000
  5:  -7.539785 -133.620005 5085.041301  -2.768344   0.167950   0.736707
  6:  -7.538077 -133.620008 5104.341204  -4.378034   0.491927   2.165837
  7:  -7.536360 -133.620020 5130.787335  -7.230456   0.649899   2.874985
  8:  -7.531208 -133.619997 5250.922673   5.002737   1.077147   4.877899
  9:  -7.529490 -133.620020 5304.293472  -1.933032   1.213563   5.548146
 10:  -7.527773 -133.619998 5363.696971  -0.145736   1.359380   6.284702
 11:  -7.526057 -133.620007 5429.287199   3.245537   1.490404   6.976621
 12:  -7.524338 -133.620002 5500.741175  -3.778373   1.329851   6.301078
 13:  -7.523300 -133.621050 5552.035684  -5.391209   0.585701   2.800639
 14:  -7.523502 -133.622757 5556.837735  -6.013634   0.094709   0.453352
 15:  -7.523862 -133.624435 5560.733043  -0.794457   0.067208   0.322356
 16:  -7.524392 -133.626070 5563.035773  -4.638267   0.016383   0.078538
 17:  -7.525115 -133.627628 5562.237596  -0.384039  -0.064616  -0.310055
 18:  -7.526970 -133.630510 5558.395109  -6.733399  -0.031196  -0.149404
 19:  -7.528110 -133.631793 5554.074603  -3.604376  -0.113115  -0.541594
 20:  -7.529378 -133.632947 5547.953471   6.365912  -0.185018  -0.886634
 21:  -7.532222 -133.634857 5532.657180   0.003881  -0.170701  -0.814794
 22:  -7.533790 -133.635547 5521.353955   4.289880  -0.241061  -1.149260
 23:  -7.535410 -133.636107 5510.491166  -3.060607  -0.233871  -1.111186
 24:  -7.537073 -133.636518 5499.532554   5.415244  -0.299302  -1.421502
 25:  -7.540488 -133.636763 5472.585420   3.133460  -0.268227  -1.267224
 26:  -7.542197 -133.636622 5458.099415   5.842128  -0.306250  -1.443637
 27:  -7.543888 -133.636337 5444.407788   1.010516  -0.318208  -1.494979
 28:  -7.545528 -133.635842 5428.803657  -4.347197  -0.336336  -1.574222
 29:  -7.547115 -133.635192 5413.472377   7.148059  -0.337822  -1.580038
 30:  -7.548620 -133.634373 5397.701484   4.023766  -0.339444  -1.581888
 31:  -7.550030 -133.633400 5381.833056   2.983624  -0.326572  -1.517248
 32:  -7.551357 -133.632310 5367.397767   3.941859  -0.305755  -1.417209
 33:  -7.552570 -133.631097 5353.688085  -5.486672  -0.308699  -1.424796
 34:  -7.553618 -133.629738 5339.002363   1.424363  -0.300576  -1.385027
 35:  -7.554363 -133.628580 5328.033300  -8.334140  -0.264431  -1.213937
 36:  -7.554535 -133.628288 5325.548126  -1.653389  -0.291184  -1.337721
 37:  -7.555332 -133.626768 5314.147215  -1.649291  -0.279858  -1.282852
 38:  -7.556367 -133.623498 5291.730536  -0.984343  -0.211596  -0.965995
 39:  -7.556752 -133.620087 5275.162549   2.764724  -0.153342  -0.698248
 40:  -7.556418 -133.616673 5263.503122  -0.400167  -0.073488  -0.333730
 41:  -7.555970 -133.615015 5259.202643  -3.450029  -0.064437  -0.292196
 42:  -7.555390 -133.613400 5257.569335  -4.089463  -0.024233  -0.109851
 43:  -7.554628 -133.611860 5256.893084  -2.206168   0.006569   0.029790
 44:  -7.553725 -133.610398 5258.241856  -1.944152   0.014575   0.066103
 45:  -7.551480 -133.607807 5265.050856   0.377902   0.109873   0.499100
 46:  -7.548763 -133.605715 5278.491754  -2.557639   0.203880   0.927929
 47:  -7.547257 -133.604893 5287.234202   2.563793   0.206930   0.944359
 48:  -7.545680 -133.604217 5297.789263   2.889213   0.241848   1.105846
 49:  -7.544042 -133.603708 5309.478378   1.688060   0.254962   1.168034
 50:  -7.542357 -133.603402 5321.242209  -9.800142   0.269178   1.233228
 51:  -7.540645 -133.603262 5334.256714  -1.500485   0.297282   1.367698
 52:  -7.538932 -133.603283 5348.570011  11.849090   0.325657   1.505940
 53:  -7.537225 -133.603455 5364.482267   6.553107   0.355090   1.645187
 54:  -7.536248 -133.603650 5373.419903  -2.534514   0.096058   0.444990
 55:  -7.532293 -133.606618 5370.517645   6.310042  -0.582526  -2.703238
 56:  -7.533123 -133.608118 5312.696195   3.743259  -1.190394  -5.463489
 57:  -7.535722 -133.612552 5175.883893   2.309885  -0.773141  -3.454863
