Bootstrap inversion results (2sigma uncertainty)
Station: CC02
Lat:   -4.46461 deg (0.000027) 
Lon:   -132.58299 deg (0.000016) 
X:     17.716184 m (1.787874) 
Y:    -41.411542 m (3.014891) 
Depth: -4444.779881 m (4.914668) 
TAT:   13.701213 ms (1.854968) 
Water Vel.: 1498.466665 m/s (1.566716)
Drift Lon: 17.716184 m (1.787874) 
Drift Lat: -41.411542 m (3.014891) 
Drift:    45.053240 m (2.866373) 
Drift Azi: 156.823448 deg (2.566656)
dz: 39.220119 m (4.914668)

RMS:  2.066965 ms (0.471455)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.463448 -132.582778 4446.712419  -0.688938   0.020971   0.083238
  2:  -4.462755 -132.584207 4451.580808  -0.196661   0.131388   0.522146
  3:  -4.462138 -132.585568 4462.387693   1.296216   0.259488   1.033967
  4:  -4.461432 -132.587112 4482.092971   0.049483   0.415082   1.660940
  5:  -4.460537 -132.588790 4513.725036   1.765615   0.605567   2.440716
  6:  -4.459572 -132.590502 4556.531596   1.619905   0.809466   3.293222
  7:  -4.458702 -132.592382 4611.935098  -0.254545   1.016026   4.182820
  8:  -4.457858 -132.594300 4678.647230  -1.232075   1.211335   5.058279
  9:  -4.457022 -132.596263 4757.208972  -0.164566   1.391671   5.909273
 10:  -4.456143 -132.598195 4845.735606  -4.161513   1.534421   6.632684
 11:  -4.455320 -132.600093 4941.200618  -3.531373   1.530063   6.743741
 12:  -4.454508 -132.602007 5045.717963  -2.052704   1.271771   5.725119
 13:  -4.453092 -132.603305 5144.215895  -4.292035   0.859796   3.943914
 14:  -4.451540 -132.603025 5175.955499   0.011659   0.419622   1.938359
 15:  -4.450670 -132.601885 5150.855478  -0.507252   0.003244   0.014908
 16:  -4.449728 -132.600660 5129.480873   0.931187  -0.252711  -1.157095
 17:  -4.448672 -132.599250 5110.835666  -0.100206  -0.279346  -1.274199
 18:  -4.447508 -132.597720 5099.681820  -0.221037  -0.181987  -0.828282
 19:  -4.446373 -132.596080 5092.677379   0.132546  -0.072175  -0.328059
 20:  -4.445300 -132.594345 5089.781279   3.796462   0.007739   0.035178
 21:  -4.444227 -132.592637 5097.552762  -1.329842   0.036709   0.166977
 22:  -4.443300 -132.590883 5106.739971   2.218504   0.045945   0.209487
 23:  -4.442683 -132.589030 5107.526682  -0.665728   0.045501   0.207399
 24:  -4.442357 -132.587142 5101.597883   0.157666   0.018095   0.082393
 25:  -4.442055 -132.585233 5103.069438   5.925809  -0.000487  -0.002222
 26:  -4.441792 -132.582795 5111.355307  -0.728233   0.036042   0.164408
 27:  -4.441872 -132.580813 5112.659627   0.404648   0.008644   0.039443
 28:  -4.442075 -132.578868 5116.406273  -2.432610  -0.038123  -0.174025
 29:  -4.442623 -132.576992 5110.086672  -1.067103  -0.048898  -0.222971
 30:  -4.443433 -132.575142 5099.110292  -1.368566  -0.026499  -0.120574
 31:  -4.444303 -132.573258 5095.817486   0.852657  -0.000044  -0.000201
 32:  -4.445123 -132.571407 5104.354149   0.494634   0.008319   0.037903
 33:  -4.446107 -132.569598 5114.082579  -1.379731  -0.006844  -0.031233
 34:  -4.447418 -132.567988 5113.146738  -0.202632  -0.036819  -0.168020
 35:  -4.449000 -132.566673 5100.683962   1.323818  -0.060439  -0.275198
 36:  -4.451110 -132.565200 5087.694878  -0.209657  -0.036818  -0.167180
 37:  -4.453220 -132.563713 5091.265611   0.944055  -0.025507  -0.115920
 38:  -4.454868 -132.562628 5101.433440  -3.327657  -0.069385  -0.315735
 39:  -4.456780 -132.561903 5097.429950   1.648342  -0.168782  -0.768081
 40:  -4.461463 -132.561247 5069.621424  -1.929479  -0.189526  -0.857245
 41:  -4.463593 -132.561068 5068.361602   1.401815  -0.454759  -2.057672
 42:  -4.475873 -132.564793 5038.329763   4.067995  -0.099707  -0.448753
 43:  -4.485033 -132.579327 5001.967166  -0.670446   0.189724   0.846855
