Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.356425 m (1.145406) 
Y:    89.268186 m (1.518524) 
Depth: -4739.256478 m (3.454568) 
TAT:   12.752406 ms (1.055718) 
Water Vel.: 1506.825061 m/s (1.048586)
Drift Lon: 13.356425 m (1.145406) 
Drift Lat: 89.268186 m (1.518524) 
Drift:    90.263529 m (1.552798) 
Drift Azi: 8.509065 deg (0.697619)
dz: 10.743522 m (3.454568)

RMS:  1.542380 ms (0.326474)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.882117 -132.690453 4742.531154  -1.433546  -0.004550  -0.019044
  2:  -4.882108 -132.690443 4742.481321  -0.405720  -0.002331  -0.009758
  3:  -4.882112 -132.690440 4742.472778  -1.354370   0.000386   0.001617
  4:  -4.882107 -132.690455 4742.524537  -1.423263  -0.000394  -0.001647
  5:  -4.882098 -132.690608 4743.143066  -0.288002  -0.003874  -0.016219
  6:  -4.882077 -132.690578 4742.988078   0.880954  -0.009228  -0.038636
  7:  -4.882430 -132.690233 4742.277494  -0.149634  -0.004458  -0.018659
  8:  -4.883143 -132.689708 4743.064190   0.767103   0.023498   0.098382
  9:  -4.883957 -132.689035 4746.409058   1.316478   0.069938   0.293046
 10:  -4.884765 -132.688328 4752.639587   1.057452   0.113482   0.476114
 11:  -4.885473 -132.687812 4760.218727   1.002231   0.128726   0.540923
 12:  -4.886192 -132.687243 4770.102538  -0.071498   0.121225   0.510381
 13:  -4.886658 -132.687040 4776.814935   2.911489   0.088267   0.372293
 14:  -4.886882 -132.687107 4779.446299   0.501706   0.043750   0.184573
 15:  -4.886983 -132.687382 4779.625439   0.274399   0.003931   0.016584
 16:  -4.887012 -132.687818 4778.499460   1.708491  -0.018884  -0.079664
 17:  -4.887005 -132.688380 4777.177290  -0.454281  -0.028875  -0.121741
 18:  -4.886938 -132.689040 4775.853671   0.280064  -0.029470  -0.124231
 19:  -4.886738 -132.689662 4773.814695  -0.976407  -0.018228  -0.076794
 20:  -4.886440 -132.690207 4771.386338   1.178154  -0.011824  -0.049806
