Bootstrap inversion results (2sigma uncertainty)
Station: CC05
Lat:   -5.51738 deg (0.000011) 
Lon:   -132.87300 deg (0.000011) 
X:     -44.177929 m (1.182332) 
Y:    69.094125 m (1.266944) 
Depth: -4798.020274 m (3.862029) 
TAT:   14.321316 ms (1.252742) 
Water Vel.: 1510.628331 m/s (1.110043)
Drift Lon: -44.177929 m (1.182332) 
Drift Lat: 69.094125 m (1.266944) 
Drift:    82.012753 m (1.176219) 
Drift Azi: 327.405294 deg (0.888031)
dz: -82.020274 m (3.862029)

RMS:  1.631470 ms (0.365509)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.517570 -132.872273 4798.741790   0.336056   0.000000   0.000000
  2:  -5.517570 -132.872273 4798.741790   0.346633  -0.000042  -0.000177
  3:  -5.517548 -132.872278 4798.722384   0.353743   0.005652   0.023826
  4:  -5.517548 -132.872263 4798.750319  -0.575624   0.012263   0.051690
  5:  -5.517937 -132.871858 4800.085477  -1.284721   0.041244   0.173877
  6:  -5.518980 -132.871258 4805.172409  -1.056177   0.123297   0.520353
  7:  -5.520475 -132.870362 4819.116654  -2.336027   0.271019   1.146978
  8:  -5.521968 -132.869265 4842.535985   0.356588   0.447321   1.902805
  9:  -5.523310 -132.867942 4875.009751   0.394679   0.620865   2.658688
 10:  -5.524790 -132.866640 4918.310427  -0.852850   0.789536   3.410476
 11:  -5.526322 -132.865385 4971.069676  -1.663209   0.951555   4.153947
 12:  -5.528323 -132.863767 5053.042654   3.498109   1.126193   5.000124
 13:  -5.529915 -132.862522 5127.542334   1.984688   1.112156   5.009882
 14:  -5.531470 -132.861277 5209.367202   5.449919   0.907158   4.153717
 15:  -5.533417 -132.857715 5388.494267  -0.423695   0.705093   3.336390
 16:  -5.532182 -132.856318 5396.120131   0.406856   0.376350   1.783560
 17:  -5.530587 -132.855070 5394.634288  -0.487081   0.075037   0.355457
 18:  -5.528892 -132.853817 5400.055836   1.165223  -0.094414  -0.447822
 19:  -5.524968 -132.852138 5391.560876   1.376899   0.017831   0.084447
 20:  -5.522878 -132.851563 5388.212174  -0.057151  -0.026663  -0.126164
 21:  -5.520645 -132.851245 5381.640767   0.614293  -0.060441  -0.285679
 22:  -5.518295 -132.851018 5381.764908   0.448490  -0.059128  -0.279478
 23:  -5.515955 -132.851065 5380.759563  -0.196577  -0.044402  -0.209810
 24:  -5.513638 -132.851443 5375.563054  -0.297440  -0.041488  -0.195841
 25:  -5.511312 -132.852015 5373.728718  -0.805123  -0.064865  -0.306054
 26:  -5.509042 -132.852827 5372.753648  -1.516644  -0.086189  -0.406545
 27:  -5.506933 -132.853913 5369.058033  -0.663232  -0.095323  -0.449403
 28:  -5.505053 -132.855387 5355.957274  -3.151863  -0.144677  -0.680178
 29:  -5.503268 -132.856998 5347.713638  -1.385208  -0.226737  -1.064592
 30:  -5.499845 -132.860495 5357.117348  -1.791027  -0.042107  -0.198042
 31:  -5.498827 -132.862728 5340.738430  -0.164806  -0.029407  -0.137918
 32:  -5.498018 -132.865032 5327.513468   1.210631  -0.040123  -0.187764
 33:  -5.497147 -132.867365 5330.544086   1.198053  -0.047410  -0.221984
 34:  -5.496388 -132.869705 5342.322869  -0.297027  -0.022294  -0.104592
 35:  -5.496238 -132.872092 5338.031517  -0.598582  -0.007350  -0.034453
 36:  -5.496530 -132.874470 5325.534598   1.814983  -0.018631  -0.087159
 37:  -5.496890 -132.876883 5323.351891   1.699210  -0.011326  -0.052962
 38:  -5.497363 -132.879082 5326.604464   1.429452   0.001447   0.006771
 39:  -5.498060 -132.881275 5331.451956  -0.837788   0.011439   0.053550
 40:  -5.499062 -132.883345 5332.614605  -0.399129   0.015338   0.071823
 41:  -5.500432 -132.885295 5328.060550   0.545837   0.021839   0.102198
 42:  -5.501902 -132.887128 5329.197372  -1.842795   0.017330   0.081083
 43:  -5.503468 -132.888813 5334.508017   1.027950   0.007795   0.036522
 44:  -5.505217 -132.890213 5335.489821  -0.208366  -0.023780  -0.111417
 45:  -5.507188 -132.891410 5334.052948   1.533015  -0.072326  -0.338886
 46:  -5.509267 -132.892225 5325.762876   0.567664  -0.177876  -0.832027
 47:  -5.511407 -132.892758 5315.132775   0.642148  -0.310248  -1.448329
 48:  -5.522835 -132.893817 5357.865981   1.025731   0.301610   1.419423
 49:  -5.524862 -132.893095 5353.974416  -1.626548   0.169852   0.798387
 50:  -5.526860 -132.892403 5361.371752   2.293273   0.050783   0.239200
 51:  -5.530172 -132.890572 5367.964062   3.512632   0.126924   0.598714
 52:  -5.531878 -132.889352 5373.696216  -2.682037   0.101272   0.477688
 53:  -5.533423 -132.887980 5378.301177  -1.770310   0.062792   0.296478
 54:  -5.534792 -132.886463 5381.113776  -1.512188   0.052247   0.246835
 55:  -5.535968 -132.884828 5382.078894  -2.718631   0.072000   0.340138
 56:  -5.537023 -132.882982 5381.968335  -1.690352   0.014871   0.070267
 57:  -5.538383 -132.880615 5397.254843  -0.037455  -0.185386  -0.878664
 58:  -5.539353 -132.878753 5416.146605  -1.882209  -0.496065  -2.358651
 59:  -5.538550 -132.877243 5359.601834   0.764761  -0.766946  -3.610248
 60:  -5.534077 -132.876195 5153.403512   0.800559  -0.880981  -3.987836
 61:  -5.532428 -132.875815 5088.165241  -1.719540  -0.955649  -4.269860
 62:  -5.531193 -132.875497 5043.076355   1.749228  -0.721995  -3.198701
