Bootstrap inversion results (2sigma uncertainty)
Station: CC06
Lat:   -5.83853 deg (0.000009) 
Lon:   -132.95180 deg (0.000008) 
X:     -71.032638 m (0.884414) 
Y:    56.380340 m (0.981571) 
Depth: -4823.828907 m (3.682318) 
TAT:   13.824059 ms (0.873333) 
Water Vel.: 1510.899857 m/s (0.979917)
Drift Lon: -71.032638 m (0.884414) 
Drift Lat: 56.380340 m (0.981571) 
Drift:    90.688985 m (1.136255) 
Drift Azi: 308.439558 deg (0.425779)
dz: 0.171093 m (3.682318)

RMS:  1.298720 ms (0.293137)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.838963 -132.951723 4824.074490   0.440531   0.002466   0.010444
  2:  -5.839037 -132.951408 4824.350481   0.110709   0.013171   0.055790
  3:  -5.839265 -132.950717 4826.008709  -0.068841   0.049301   0.208903
  4:  -5.839703 -132.949858 4830.368715  -1.643844   0.111635   0.473382
  5:  -5.840660 -132.948835 4840.735713  -0.515298   0.221028   0.939358
  6:  -5.841865 -132.947682 4859.370832  -1.109980   0.371786   1.586066
  7:  -5.843122 -132.946475 4886.214501   1.115320   0.538697   2.311263
  8:  -5.844517 -132.945192 4923.760531  -2.285944   0.713371   3.083146
  9:  -5.845938 -132.943843 4971.639216   0.130064   0.893048   3.898091
 10:  -5.847377 -132.942488 5028.928973   0.298104   1.067820   4.714646
 11:  -5.848860 -132.941115 5096.551430   2.660326   1.218552   5.453905
 12:  -5.850348 -132.939727 5173.539133   3.706383   1.292729   5.874236
 13:  -5.851798 -132.938273 5259.913698   4.325637   1.167231   5.393267
 14:  -5.852490 -132.936422 5343.545597   1.738613   0.830149   3.895228
 15:  -5.852075 -132.934553 5400.140929   0.866059   0.428410   2.031110
 16:  -5.845263 -132.930492 5421.541417   1.485366   0.451979   2.151596
 17:  -5.843048 -132.929887 5423.014667  -1.265642   0.200354   0.953508
 18:  -5.840913 -132.929405 5430.532802  -1.206170   0.052806   0.251665
 19:  -5.838775 -132.929275 5430.802180  -0.604498   0.011016   0.052510
 20:  -5.836708 -132.929440 5426.108502  -0.432859  -0.021756  -0.103615
 21:  -5.834583 -132.929767 5423.533452  -0.968660  -0.043727  -0.208138
 22:  -5.832497 -132.930258 5422.788578  -0.057942  -0.053978  -0.256938
 23:  -5.830458 -132.930995 5419.929141  -1.186923  -0.069788  -0.331954
 24:  -5.828538 -132.931888 5417.899850  -1.482208  -0.111789  -0.531513
 25:  -5.825593 -132.933828 5410.912957   0.634378  -0.059537  -0.282810
 26:  -5.823838 -132.935280 5408.955818  -0.688349  -0.108555  -0.515352
 27:  -5.822302 -132.937018 5400.966728  -0.157480  -0.117629  -0.557660
