Bootstrap inversion results (2sigma uncertainty)
Station: CC09
Lat:   -6.79945 deg (0.000012) 
Lon:   -133.21640 deg (0.000012) 
X:     -114.723275 m (1.331090) 
Y:    -74.686260 m (1.334696) 
Depth: -4615.603065 m (3.560529) 
TAT:   12.820074 ms (0.953106) 
Water Vel.: 1509.247867 m/s (1.078400)
Drift Lon: -114.723275 m (1.331090) 
Drift Lat: -74.686260 m (1.334696) 
Drift:    136.894328 m (1.092173) 
Drift Azi: 236.935185 deg (0.642957)
dz: 4.396935 m (3.560529)

RMS:  1.747710 ms (0.404921)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.798583 -133.216523 4616.608263   0.369574  -0.000953  -0.003873
  2:  -6.798608 -133.216532 4616.554861  -0.452334  -0.001407  -0.005714
  3:  -6.798662 -133.216530 4616.439779   0.564203  -0.009308  -0.037811
  4:  -6.798707 -133.216598 4616.379121  -1.145436  -0.019405  -0.078808
  5:  -6.799443 -133.215980 4615.834158   1.301923   0.012686   0.051530
  6:  -6.800573 -133.214853 4620.443897   0.305828   0.118614   0.482232
  7:  -6.801890 -133.213555 4634.181296  -0.789139   0.296657   1.209484
  8:  -6.803238 -133.212162 4658.220798  -0.673534   0.504292   2.066699
  9:  -6.804773 -133.210665 4696.015989   1.117051   0.721568   2.981761
 10:  -6.806358 -133.209125 4747.061176   0.529754   0.941303   3.931658
 11:  -6.807982 -133.207640 4809.594298   2.554124   1.138801   4.820404
 12:  -6.809627 -133.206168 4883.667437   1.442583   1.235312   5.308584
 13:  -6.812053 -133.203878 5016.284609   0.739770   1.202484   5.307166
 14:  -6.813025 -133.201417 5128.500256   5.673558   0.922788   4.167445
 15:  -6.812302 -133.199012 5197.964450   0.043272   0.534841   2.445536
 16:  -6.809693 -133.197117 5208.730010   0.713195   0.214008   0.980703
 17:  -6.806648 -133.196137 5191.774802  -0.715640   0.019243   0.087874
 18:  -6.804422 -133.195780 5176.971804  -1.998977  -0.079058  -0.359898
 19:  -6.802213 -133.195448 5173.042026  -4.656739  -0.053880  -0.244977
 20:  -6.799978 -133.195287 5172.354257   3.709221   0.012362   0.056284
 21:  -6.797723 -133.195225 5178.602936   0.654480   0.063321   0.288486
 22:  -6.795407 -133.195412 5185.075557   0.103370   0.090710   0.413749
 23:  -6.793235 -133.195792 5192.697904  -2.820457   0.085114   0.388588
 24:  -6.791263 -133.196483 5193.140391  -3.392857   0.049121   0.224266
 25:  -6.789302 -133.197327 5196.790008   1.485617   0.018361   0.083957
 26:  -6.786073 -133.199323 5201.269898   0.627573   0.122590   0.560942
 27:  -6.784328 -133.200622 5209.609422   0.564093   0.072787   0.333593
 28:  -6.782425 -133.202387 5219.739211  -0.778554   0.058848   0.270169
 29:  -6.781210 -133.204070 5218.023475   1.371852   0.018130   0.083236
 30:  -6.780195 -133.205960 5212.227360  -2.719981  -0.038025  -0.174267
 31:  -6.779240 -133.207957 5212.246744   0.094622  -0.092223  -0.422851
 32:  -6.777602 -133.212143 5230.729360   0.569138   0.079031   0.363671
 33:  -6.777365 -133.214365 5226.564112  -0.834037   0.057414   0.263928
 34:  -6.777293 -133.216653 5225.518298  -2.347250   0.029516   0.135624
 35:  -6.777407 -133.218845 5226.583349   1.046223   0.017517   0.080548
 36:  -6.777735 -133.220940 5226.894965   1.605675   0.007184   0.033041
 37:  -6.778205 -133.223092 5231.536745  -0.438019  -0.005342  -0.024584
 38:  -6.778960 -133.225080 5230.419651   0.009672   0.000048   0.000222
 39:  -6.780003 -133.226897 5222.415416   3.439512  -0.000832  -0.003827
 40:  -6.781125 -133.228800 5223.814493  -0.209532  -0.002359  -0.010842
 41:  -6.782322 -133.230598 5230.115072  -1.491917  -0.000168  -0.000775
 42:  -6.783733 -133.232157 5230.458759  -0.035223  -0.022208  -0.102176
 43:  -6.785345 -133.233573 5228.785942   0.165588  -0.069247  -0.318514
 44:  -6.788862 -133.235760 5220.616953   0.956272   0.047219   0.216880
 45:  -6.790700 -133.236630 5219.308593   1.653935   0.002131   0.009787
 46:  -6.792612 -133.237352 5219.207410   0.833295  -0.026882  -0.123437
 47:  -6.794575 -133.237855 5217.271325   0.421920  -0.034819  -0.159808
 48:  -6.796517 -133.238095 5211.646010  -0.100184  -0.045217  -0.207295
 49:  -6.798587 -133.238252 5210.443468   1.421801  -0.044570  -0.204329
