Bootstrap inversion results (2sigma uncertainty)
Station: EC05
Lat:   -7.85622 deg (0.000013) 
Lon:   -132.32978 deg (0.000018) 
X:     -262.236350 m (1.999714) 
Y:    -311.363125 m (1.442044) 
Depth: -4587.035090 m (5.577632) 
TAT:   9.567771 ms (2.648712) 
Water Vel.: 1501.376296 m/s (1.647701)
Drift Lon: -262.236350 m (1.999714) 
Drift Lat: -311.363125 m (1.442044) 
Drift:    407.081922 m (1.705254) 
Drift Azi: 220.104682 deg (0.250599)
dz: 13.964910 m (5.577632)

RMS:  2.192061 ms (0.600071)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -7.853548 -132.327637 4602.570104   1.154192   0.000122   0.000498
  2:  -7.853538 -132.327648 4602.575281   1.137286   0.001323   0.005411
  3:  -7.853522 -132.327657 4602.647416   0.187775  -0.003239  -0.013249
  4:  -7.853563 -132.327548 4602.974177   1.539910  -0.015483  -0.063343
  5:  -7.854125 -132.326677 4605.573224   0.262069   0.017708   0.072474
  6:  -7.855453 -132.325775 4608.998381   1.554946   0.121950   0.499559
  7:  -7.856968 -132.324702 4621.819537   2.393590   0.279073   1.146472
  8:  -7.859135 -132.323150 4656.115839   2.735004   0.512165   2.119768
  9:  -7.860800 -132.322033 4693.338603  -2.456009   0.688878   2.872134
 10:  -7.862437 -132.320932 4739.834601  -0.530188   0.853313   3.593707
 11:  -7.864092 -132.319853 4795.578387   0.190417   0.947435   4.037424
 12:  -7.866910 -132.318027 4911.137828   0.256157   0.934975   4.080166
 13:  -7.869658 -132.316133 5051.279936   1.480972   0.685655   3.078051
 14:  -7.873172 -132.316730 5160.237932   4.978526   0.365611   1.677952
 15:  -7.874033 -132.318625 5141.674402   1.071607  -0.036028  -0.164625
 16:  -7.875018 -132.322115 5106.800073   3.340750  -0.197861  -0.898354
 17:  -7.875263 -132.324352 5082.990732   0.277102  -0.270636  -1.222336
 18:  -7.875438 -132.326572 5068.101274  -1.727945  -0.244338  -1.099912
 19:  -7.875372 -132.328773 5053.870808   0.107135  -0.202419  -0.908969
 20:  -7.875180 -132.330962 5045.494249   0.260683  -0.156294  -0.700700
 21:  -7.874723 -132.333072 5036.129682   0.692223  -0.119799  -0.536138
 22:  -7.874067 -132.335223 5029.836287  -0.820464  -0.096466  -0.431056
 23:  -7.873252 -132.337325 5028.276040  -1.680927  -0.090217  -0.402943
 24:  -7.872198 -132.339245 5025.479024  -1.004334  -0.086702  -0.387079
 25:  -7.870815 -132.340922 5015.801294  -0.166071  -0.087418  -0.389582
 26:  -7.869245 -132.342477 5007.853349  -1.501567  -0.084322  -0.375103
 27:  -7.867565 -132.343893 5003.961232  -1.326590  -0.057431  -0.255291
 28:  -7.865762 -132.345167 5003.562317  -0.833043   0.000697   0.003096
 29:  -7.863802 -132.346153 5000.608260   0.070922   0.060782   0.270059
 30:  -7.861780 -132.347085 5006.251856   0.518030   0.114073   0.507463
 31:  -7.859793 -132.347850 5016.929070   2.212627   0.156942   0.699851
 32:  -7.857760 -132.348403 5028.832467  -0.502937   0.185037   0.826723
 33:  -7.855597 -132.348750 5042.141784  -0.251762   0.205062   0.918641
 34:  -7.853477 -132.348813 5053.666860   0.370211   0.217977   0.978843
 35:  -7.851327 -132.348635 5065.369011   0.747955   0.215017   0.967838
 36:  -7.849180 -132.348313 5081.808801  -1.037328   0.202322   0.913383
 37:  -7.847088 -132.347728 5096.930366  -0.242466   0.215168   0.974385
 38:  -7.845172 -132.346782 5103.834908  -1.364066   0.241035   1.092801
 39:  -7.843357 -132.345692 5113.060000  -1.662389   0.267514   1.215008
 40:  -7.841538 -132.344613 5133.470663   1.032372   0.297694   1.358028
 41:  -7.839828 -132.343423 5156.552556   0.328018   0.330055   1.512236
 42:  -7.838303 -132.342133 5178.982901  -1.466801   0.331755   1.526201
 43:  -7.836995 -132.340603 5194.681308   0.504825   0.305965   1.412294
 44:  -7.835732 -132.338977 5215.559397  -0.270574   0.284299   1.317359
 45:  -7.834762 -132.337230 5229.329423   0.361780   0.276008   1.282455
 46:  -7.833922 -132.335425 5244.786229   0.751067   0.259411   1.208973
 47:  -7.833222 -132.333525 5261.029833  -1.760547   0.241691   1.129413
 48:  -7.832678 -132.331613 5278.054622  -1.445189   0.235783   1.105406
 49:  -7.832443 -132.329693 5287.055415  -0.476854   0.220496   1.035673
 50:  -7.832273 -132.327702 5301.368658  -1.485974   0.198732   0.935798
 51:  -7.832312 -132.325733 5313.060253   2.670653   0.169608   0.800972
 52:  -7.832487 -132.323775 5325.971258   0.608744   0.135011   0.638925
 53:  -7.832927 -132.321872 5332.440811   4.701906   0.092389   0.438060
 54:  -7.833615 -132.319977 5334.482368   0.289779   0.005255   0.024906
 55:  -7.834462 -132.318148 5336.098146   1.993673  -0.191916  -0.910186
 56:  -7.835487 -132.316307 5338.874592   0.425131  -0.410971  -1.949528
 57:  -7.846708 -132.307045 5332.135600   2.245085   0.255312   1.210041
 58:  -7.847620 -132.306847 5323.528015   2.631473  -0.221498  -1.048154
 59:  -7.850123 -132.306043 5324.109358   1.975444  -0.578912  -2.739449
 60:  -7.851970 -132.306652 5269.337176  -0.836359  -0.825298  -3.863210
 61:  -7.852477 -132.308390 5174.487253  -4.268175  -1.022046  -4.695567
 62:  -7.852658 -132.309863 5100.883469  -7.078360  -1.116685  -5.055537
 63:  -7.852763 -132.311217 5037.531261  -5.777575  -1.000367  -4.473861
 64:  -7.852807 -132.312478 4982.250238  -6.150129  -0.893928  -3.954049
