Bootstrap inversion results (2sigma uncertainty)
Station: EE01
Lat:   -4.94698 deg (0.000016) 
Lon:   -130.38143 deg (0.000010) 
X:     39.195711 m (1.132223) 
Y:    -102.834893 m (1.771064) 
Depth: -4645.224891 m (3.545985) 
TAT:   14.993915 ms (1.645597) 
Water Vel.: 1501.392675 m/s (1.229570)
Drift Lon: 39.195711 m (1.132223) 
Drift Lat: -102.834893 m (1.771064) 
Drift:    110.052707 m (1.816066) 
Drift Azi: 159.135361 deg (0.551367)
dz: 24.775109 m (3.545985)

RMS:  1.696534 ms (0.485260)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.945843 -130.382052 4647.442088   0.166098   0.000000   0.000000
  2:  -4.945843 -130.382052 4647.442088   0.146032   0.002297   0.009496
  3:  -4.945828 -130.382057 4647.495549  -0.829421   0.001679   0.006940
  4:  -4.945818 -130.382057 4647.525982  -0.862631  -0.000740  -0.003057
  5:  -4.945795 -130.382065 4647.612002  -0.040019  -0.012419  -0.051335
  6:  -4.945790 -130.382038 4647.583507  -0.948700  -0.031215  -0.129011
  7:  -4.945920 -130.381418 4646.703504  -0.783906  -0.025737  -0.106353
  8:  -4.946947 -130.380270 4646.997120   0.717521   0.060925   0.251828
  9:  -4.948027 -130.378707 4656.448335   0.168647   0.229809   0.951748
 10:  -4.949208 -130.376915 4678.590264  -1.239560   0.451379   1.877954
 11:  -4.950268 -130.374965 4714.224988   0.194174   0.679078   2.847116
 12:  -4.951307 -130.373000 4762.400610   0.007944   0.897088   3.799549
 13:  -4.952328 -130.371028 4822.642355  -1.171771   1.100229   4.717877
 14:  -4.953857 -130.368162 4931.606509  -0.361017   1.376072   6.034464
 15:  -4.954903 -130.366187 5020.223299   0.565270   1.381882   6.169449
 16:  -4.955965 -130.364198 5120.178905  -4.318353   1.112534   5.061337
 17:  -4.956995 -130.362247 5227.767972  -2.656812   0.708215   3.290260
 18:  -4.971850 -130.383047 5401.293574  -2.724460  -0.372486  -1.787688
 19:  -4.970207 -130.383010 5310.931911  -5.221504  -0.635086  -2.995893
 20:  -4.968623 -130.383088 5228.800820  -2.073077  -0.773508  -3.594816
 21:  -4.967562 -130.384432 5183.558310   3.763221  -0.662864  -3.057173
 22:  -4.966593 -130.388102 5179.796501   4.704851  -0.252325  -1.163086
 23:  -4.965757 -130.390342 5183.344566   3.112441   0.004416   0.020360
 24:  -4.965028 -130.391962 5189.089541   6.305193   0.039043   0.180329
 25:  -4.962998 -130.395525 5211.589296   0.654218   0.150630   0.698057
 26:  -4.961923 -130.396805 5217.062910  -0.596420   0.107127   0.496892
 27:  -4.960697 -130.397860 5215.424658  -0.451386   0.061277   0.284147
 28:  -4.959097 -130.399155 5219.135313   0.603405   0.063243   0.293509
 29:  -4.957868 -130.400000 5222.177689  -0.410635   0.055875   0.259429
 30:  -4.956597 -130.400770 5226.031066   0.447120   0.051856   0.240967
 31:  -4.955275 -130.401448 5229.758271   1.395140   0.029159   0.135617
 32:  -4.953783 -130.402072 5233.237593  -2.072752  -0.023920  -0.111270
 33:  -4.951998 -130.402678 5238.452958  -1.072590  -0.070583  -0.328695
 34:  -4.949917 -130.403047 5237.665653  -0.104653  -0.064957  -0.302510
 35:  -4.947768 -130.402933 5222.564180   0.989298  -0.027930  -0.129717
 36:  -4.945653 -130.402768 5215.568031  -0.601905   0.023562   0.109254
 37:  -4.943447 -130.402677 5223.531746  -0.247038   0.093704   0.435191
 38:  -4.941282 -130.402510 5238.598696  -0.299883   0.117835   0.548851
 39:  -4.939107 -130.402160 5255.841068  -1.241831   0.071648   0.334764
 40:  -4.937205 -130.401417 5259.460601  -1.035610  -0.014622  -0.068371
 41:  -4.935687 -130.400212 5241.981526  -0.780825  -0.094568  -0.440711
 42:  -4.934362 -130.398930 5224.338065  -2.205585  -0.153493  -0.712769
 43:  -4.932803 -130.397533 5217.939991   0.183318  -0.152687  -0.708428
 44:  -4.931237 -130.396078 5220.115421  -0.655793  -0.121270  -0.562806
 45:  -4.929940 -130.394393 5215.072892   0.024292  -0.105806  -0.490618
 46:  -4.928912 -130.392515 5204.101979  -0.350743  -0.133815  -0.619173
 47:  -4.928085 -130.390570 5193.485063   0.745230  -0.171670  -0.792803
 48:  -4.927393 -130.388532 5185.591998   0.279797  -0.176941  -0.815889
 49:  -4.927015 -130.386398 5172.661780   0.496322  -0.162924  -0.749398
 50:  -4.926858 -130.384310 5160.566068   1.548182  -0.161401  -0.740804
 51:  -4.926860 -130.382192 5151.267054   0.023793  -0.153539  -0.703291
 52:  -4.927000 -130.380058 5146.137422   0.824774  -0.129405  -0.592213
 53:  -4.927465 -130.377897 5136.963803   0.075343  -0.109853  -0.501767
 54:  -4.928062 -130.375768 5133.081419   0.221315  -0.109926  -0.501753
 55:  -4.928917 -130.373705 5128.494818  -0.593694  -0.107135  -0.488500
 56:  -4.930052 -130.371792 5120.966071   1.320552  -0.107427  -0.489271
 57:  -4.931423 -130.370037 5112.073029   0.216230  -0.113301  -0.515055
 58:  -4.932912 -130.368432 5106.420982  -0.235496  -0.109586  -0.497573
 59:  -4.934623 -130.367025 5098.673404   0.082644  -0.090554  -0.410551
 60:  -4.936437 -130.365815 5092.679575   0.073530  -0.068993  -0.312421
 61:  -4.938350 -130.364782 5088.887856   0.099383  -0.036892  -0.166945
