Bootstrap inversion results (2sigma uncertainty)
Station: EE04
Lat:   -8.20435 deg (0.000011) 
Lon:   -131.25507 deg (0.000015) 
X:     -107.048912 m (1.684781) 
Y:    -115.822853 m (1.194850) 
Depth: -4683.227511 m (2.748311) 
TAT:   12.339190 ms (1.102541) 
Water Vel.: 1501.221830 m/s (0.814173)
Drift Lon: -107.048912 m (1.684781) 
Drift Lat: -115.822853 m (1.194850) 
Drift:    157.719026 m (0.839950) 
Drift Azi: 222.745222 deg (0.685511)
dz: 33.772489 m (2.748311)

RMS:  1.422561 ms (0.423783)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -8.202777 -131.254152 4687.543629  -1.171868  -0.000739  -0.003079
  2:  -8.202778 -131.254155 4687.528875  -0.276184  -0.002788  -0.011619
  3:  -8.202810 -131.254145 4687.424409  -0.150071  -0.003079  -0.012835
  4:  -8.202848 -131.254168 4687.217259   1.029922  -0.003580  -0.014921
  5:  -8.202893 -131.254198 4686.974856   0.427718  -0.002879  -0.011998
  6:  -8.202933 -131.254202 4686.817643   0.589047  -0.007510  -0.031300
  7:  -8.202965 -131.254265 4686.564575  -0.008724  -0.022631  -0.094311
  8:  -8.203277 -131.253623 4687.440929  -0.150778  -0.020072  -0.083661
  9:  -8.204620 -131.253032 4688.715135   1.032717   0.055162   0.230011
 10:  -8.206483 -131.252625 4696.924725  -1.691533   0.209169   0.873405
 11:  -8.208525 -131.252185 4716.700812   1.740465   0.411188   1.724891
 12:  -8.210665 -131.251737 4749.300846  -0.574620   0.625058   2.639369
 13:  -8.212835 -131.251297 4794.456883  -0.700356   0.835185   3.560067
 14:  -8.215015 -131.250855 4851.850196   0.743258   1.035517   4.467558
 15:  -8.217165 -131.250455 4919.448144   4.495625   1.205822   5.277472
 16:  -8.219600 -131.249983 5009.251220   1.052869   1.231081   5.483649
 17:  -8.221802 -131.249588 5101.382098  -0.593641   0.994207   4.508709
 18:  -8.224115 -131.249632 5203.036415  -0.073586   0.647215   2.993759
 19:  -8.224720 -131.252490 5204.831905   0.484086   0.337457   1.561617
 20:  -8.224590 -131.254843 5190.897368   0.076565   0.059568   0.274901
 21:  -8.224457 -131.257277 5190.184001  -0.889858  -0.036799  -0.169774
 22:  -8.224057 -131.259588 5189.589930  -0.154399  -0.007122  -0.032857
 23:  -8.223473 -131.261748 5191.174136  -1.167350   0.009312   0.042967
 24:  -8.222637 -131.263775 5190.743931   0.271668  -0.000837  -0.003865
 25:  -8.221560 -131.265663 5188.317933   0.489188  -0.013397  -0.061800
 26:  -8.220323 -131.267467 5188.438310  -0.565196  -0.004588  -0.021159
 27:  -8.218842 -131.269157 5187.581241  -0.466807   0.007567   0.034895
 28:  -8.217170 -131.270712 5187.835359   1.051120  -0.030176  -0.139203
 29:  -8.215455 -131.272230 5197.717070   0.946025  -0.095248  -0.440204
 30:  -8.210207 -131.274832 5205.117097   0.147972   0.154351   0.714281
 31:  -8.208020 -131.275220 5198.699813   2.404557   0.083143   0.384444
 32:  -8.205768 -131.275508 5198.874248  -1.313342  -0.044156  -0.204028
 33:  -8.203555 -131.275615 5202.342739  -0.141409  -0.255488  -1.181614
 34:  -8.201083 -131.275472 5207.281170  -2.382752  -0.523052  -2.420287
 35:  -8.181973 -131.258073 5307.080482  -0.615830   0.497879   2.348731
 36:  -8.182542 -131.248888 5311.570496  -0.609971   0.494541   2.334962
 37:  -8.183025 -131.246812 5321.840738  -1.195485   0.178154   0.842663
 38:  -8.184658 -131.243098 5330.562453   0.043639   0.135174   0.640572
 39:  -8.185798 -131.241263 5334.427584  -0.120450   0.042507   0.201571
 40:  -8.187185 -131.239613 5332.609870   1.210312  -0.020641  -0.097871
 41:  -8.188733 -131.238173 5327.448192   1.087812  -0.048631  -0.230362
 42:  -8.190448 -131.236868 5321.538349   0.977176  -0.043405  -0.205378
 43:  -8.192227 -131.235735 5316.892456   0.208770  -0.034425  -0.162720
 44:  -8.194095 -131.234622 5319.385444   0.869510  -0.050870  -0.240588
 45:  -8.196093 -131.233647 5323.458011   1.410660  -0.088946  -0.421041
 46:  -8.198657 -131.232878 5320.606750   2.143622  -0.186213  -0.881112
 47:  -8.201848 -131.232695 5299.839991  -0.952359  -0.359590  -1.693905
 48:  -8.208562 -131.232817 5306.895703   1.387941  -0.409627  -1.933098
 49:  -8.210025 -131.234692 5231.597798  -1.005765  -0.689798  -3.207633
 50:  -8.209422 -131.236392 5146.268814  -2.317288  -0.951653  -4.352393
 51:  -8.208912 -131.237818 5079.522439  -4.250497  -1.061648  -4.791383
 52:  -8.208435 -131.239153 5021.299479  -2.792473  -0.920031  -4.105707
