Bootstrap inversion results (2sigma uncertainty)
Station: WC01
Lat:   -4.14331 deg (0.000022) 
Lon:   -133.66494 deg (0.000036) 
X:     249.577621 m (3.980138) 
Y:    172.944615 m (2.435333) 
Depth: -4483.157707 m (5.721007) 
TAT:   11.222300 ms (1.366862) 
Water Vel.: 1498.182418 m/s (1.937456)
Drift Lon: 249.577621 m (3.980138) 
Drift Lat: 172.944615 m (2.435333) 
Drift:    303.643654 m (4.383093) 
Drift Azi: 55.279668 deg (0.302207)
dz: -18.157707 m (5.721007)

RMS:  2.905044 ms (1.818532)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.138347 -133.671120 4568.364172  -3.614028  -0.252206  -1.027998
  2:  -4.139713 -133.671028 4551.172790  -0.796978  -0.222675  -0.904591
  3:  -4.140957 -133.670915 4539.381618   0.872778  -0.180834  -0.732886
  4:  -4.142462 -133.670722 4529.812410  -0.284461  -0.128502  -0.519610
  5:  -4.144188 -133.670700 4529.560618   0.991421  -0.102770  -0.415613
  6:  -4.145510 -133.670182 4527.308868   1.925280  -0.134384  -0.543256
  7:  -4.145572 -133.669562 4519.351912   0.624462  -0.223762  -0.902830
  8:  -4.145078 -133.668677 4506.555287   0.722943  -0.268024  -1.078395
  9:  -4.144692 -133.668017 4498.745298   1.093932  -0.260172  -1.045025
 10:  -4.144328 -133.667375 4492.710377   1.152663  -0.216888  -0.869996
 11:  -4.144108 -133.666997 4489.833977   0.072012  -0.188010  -0.753584
 12:  -4.143905 -133.666630 4487.561595   1.997015  -0.154946  -0.620905
 13:  -4.143048 -133.664897 4483.251111   0.808359   0.013841   0.055405
 14:  -4.142177 -133.663145 4489.333536   3.573547   0.188637   0.756398
 15:  -4.141292 -133.661410 4505.787821   3.614936   0.363526   1.463013
 16:  -4.140435 -133.659640 4532.776972  -0.238628   0.532596   2.155022
 17:  -4.139583 -133.657915 4569.127363   1.154453   0.693895   2.830809
 18:  -4.138735 -133.656223 4614.253560  -1.001315   0.847754   3.491334
 19:  -4.137890 -133.654537 4668.209637   1.851621   0.975805   4.067498
 20:  -4.137033 -133.652810 4732.268447  -2.459736   0.993045   4.193060
 21:  -4.136193 -133.651117 4803.511842  -4.432090   0.852592   3.652750
 22:  -4.136018 -133.649418 4870.218127  -2.547839   0.610254   2.651569
 23:  -4.137490 -133.648517 4882.453128  -1.963411   0.315297   1.373579
 24:  -4.139783 -133.647722 4889.397462  18.215475   0.090357   0.395715
 25:  -4.143857 -133.647105 4901.496558  -1.358914   0.129893   0.568123
 26:  -4.148387 -133.647427 4918.982672  -2.620181   0.308528   1.353925
 27:  -4.150502 -133.647808 4934.657473  -1.553590   0.295522   1.301195
 28:  -4.152555 -133.648388 4952.056155   0.962486   0.285360   1.261496
 29:  -4.154583 -133.649148 4972.814879  -1.588937   0.282347   1.252830
 30:  -4.156512 -133.650230 4989.930005  -2.350999   0.282347   1.256960
 31:  -4.158260 -133.651533 5004.956574  -1.532332   0.286218   1.278270
 32:  -4.159873 -133.653062 5019.458704   0.964700   0.302732   1.356512
 33:  -4.161388 -133.654730 5038.104127  -1.727456   0.331874   1.491875
 34:  -4.162760 -133.656477 5060.623297   0.084557   0.352239   1.590980
 35:  -4.163990 -133.658410 5084.894968   0.638231   0.356713   1.619075
 36:  -4.164973 -133.660405 5108.146841  -0.310038   0.336464   1.533843
 37:  -4.165710 -133.662677 5128.318870   1.621406   0.318224   1.456922
 38:  -4.166137 -133.665035 5145.142472   0.247599   0.301331   1.383766
 39:  -4.166335 -133.667383 5163.048191  -1.545068   0.298566   1.375437
 40:  -4.166217 -133.669745 5177.015476  -1.207619   0.303971   1.404238
 41:  -4.165942 -133.672115 5195.980363   2.241078   0.294562   1.366470
 42:  -4.165467 -133.674448 5217.065961  -0.707611   0.264505   1.231422
 43:  -4.164748 -133.676710 5237.166345  -3.336685   0.239477   1.118723
 44:  -4.163362 -133.679233 5247.367817   0.749558   0.237261   1.111271
 45:  -4.162052 -133.681098 5254.839339   1.699794   0.140659   0.659849
 46:  -4.160718 -133.682872 5269.626463   0.080875   0.050440   0.237217
 47:  -4.157735 -133.685505 5277.969656  -0.014944   0.075713   0.356644
 48:  -4.155367 -133.686975 5278.422308   0.330220  -0.109443  -0.515582
 49:  -4.151905 -133.688722 5289.017677  -0.751201  -0.264173  -1.246757
 50:  -4.140193 -133.689343 5249.511094   3.560081   0.113949   0.534214
