Bootstrap inversion results (2sigma uncertainty)
Station: WC02
Lat:   -4.97259 deg (0.000019) 
Lon:   -133.70537 deg (0.000014) 
X:     37.044495 m (1.541345) 
Y:    2.760357 m (2.133341) 
Depth: -4618.619383 m (4.365559) 
TAT:   12.599958 ms (0.593428) 
Water Vel.: 1497.477853 m/s (1.324876)
Drift Lon: 37.044495 m (1.541345) 
Drift Lat: 2.760357 m (2.133341) 
Drift:    37.161821 m (1.603399) 
Drift Azi: 85.752528 deg (3.216501)
dz: 38.380617 m (4.365559)

RMS:  1.417364 ms (0.299632)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.970602 -133.702647 4633.648670  -0.191969  -0.169372  -0.701377
  2:  -4.970838 -133.703390 4627.848024   0.524040  -0.121388  -0.502106
  3:  -4.970987 -133.703793 4625.289788   0.916299  -0.074949  -0.309844
  4:  -4.972173 -133.706018 4619.410362  -1.138501   0.013453   0.055531
  5:  -4.972292 -133.706262 4619.801398   2.141749   0.014645   0.060481
  6:  -4.972328 -133.706555 4620.588674   0.240801   0.010788   0.044551
  7:  -4.972415 -133.706835 4621.530203   0.915329   0.002733   0.011290
  8:  -4.972550 -133.706955 4621.981867   0.359750  -0.010479  -0.043289
  9:  -4.972677 -133.706688 4620.958239  -0.229529  -0.023004  -0.095000
 10:  -4.972678 -133.706115 4619.377876  -0.137437  -0.021420  -0.088429
 11:  -4.972577 -133.705248 4618.637903  -0.148822   0.004452   0.018376
 12:  -4.972512 -133.704237 4620.324328   1.509571   0.050287   0.207681
 13:  -4.972483 -133.703187 4624.952622  -0.564621   0.108283   0.447537
 14:  -4.972418 -133.702062 4633.171360   0.423513   0.178847   0.740589
 15:  -4.972367 -133.700857 4645.678143  -0.267919   0.262144   1.088322
 16:  -4.972345 -133.699455 4664.985654  -0.067958   0.366643   1.528525
 17:  -4.972342 -133.697980 4690.771993  -0.471739   0.480989   2.016168
 18:  -4.972345 -133.696437 4723.666352  -1.348013   0.599003   2.528074
 19:  -4.972332 -133.694850 4763.673420  -1.758478   0.670950   2.855517
 20:  -4.972343 -133.693347 4807.202761  -0.938804   0.561431   2.411496
 21:  -4.972353 -133.690548 4902.328103  -0.957467   0.297891   1.304720
 22:  -4.982182 -133.685643 5219.393875  -0.431802   0.219651   1.024247
 23:  -4.983868 -133.687058 5197.196905   0.939164  -0.253613  -1.177977
 24:  -4.993695 -133.696885 5259.818231  -1.311113  -0.021149  -0.099361
 25:  -4.994470 -133.699955 5248.677671   0.299255  -0.372933  -1.749063
 26:  -4.993782 -133.702095 5192.058980   1.759829  -0.681559  -3.163078
 27:  -4.992443 -133.703982 5116.400591  -0.857058  -0.824972  -3.770845
 28:  -4.990332 -133.706487 5019.798546   0.991378  -0.732840  -3.287592
 29:  -4.987977 -133.713273 4999.763611   0.743005  -0.175608  -0.784648
 30:  -4.986907 -133.715280 5004.867154   1.822471  -0.047528  -0.212621
 31:  -4.985475 -133.717038 5003.911771   0.220413  -0.008879  -0.039703
 32:  -4.983818 -133.718550 5001.257473  -1.097434  -0.041251  -0.184318
 33:  -4.981932 -133.719780 4995.526952  -2.314664  -0.064764  -0.288986
 34:  -4.979945 -133.720765 4991.052993  -0.527151  -0.086357  -0.385110
 35:  -4.977433 -133.721628 4987.168972   0.605682  -0.060040  -0.267588
 36:  -4.975380 -133.721953 4981.090191  -2.083398  -0.070737  -0.314730
 37:  -4.973247 -133.721982 4973.194888   2.173906  -0.072412  -0.321917
 38:  -4.971043 -133.721852 4970.257914  -0.736503  -0.071673  -0.318293
 39:  -4.968477 -133.721412 4970.388163   1.881806  -0.054736  -0.243194
 40:  -4.966602 -133.720762 4968.378888  -0.277465  -0.105559  -0.468626
 41:  -4.963313 -133.718697 4956.673545   0.326146   0.000834   0.003696
 42:  -4.961273 -133.716692 4947.124942  -1.757325   0.027116   0.119834
 43:  -4.959935 -133.715235 4948.379844  -2.349983  -0.010978  -0.048520
 44:  -4.958768 -133.713730 4952.427670  -0.867647  -0.039787  -0.176041
 45:  -4.956970 -133.709735 4954.603833  -0.791797   0.099609   0.440934
 46:  -4.956538 -133.708015 4956.486482  -1.239611   0.015772   0.069834
 47:  -4.956368 -133.706262 4955.540792   2.538685  -0.082901  -0.367319
 48:  -4.956783 -133.703017 4944.988846   3.579066  -0.111019  -0.490953
 49:  -4.957365 -133.700532 4944.878898   2.801914  -0.220542  -0.975130
 50:  -4.960677 -133.699068 4853.202431  -0.397565  -0.400431  -1.736481
 51:  -4.961827 -133.699697 4810.647652  -2.457801  -0.555453  -2.386792
