Bootstrap inversion results (2sigma uncertainty)
Station: WC03
Lat:   -5.70770 deg (0.000013) 
Lon:   -134.09131 deg (0.000016) 
X:     -28.787133 m (1.720742) 
Y:    15.269289 m (1.487676) 
Depth: -4483.133402 m (7.161835) 
TAT:   13.067850 ms (0.842204) 
Water Vel.: 1506.914779 m/s (2.059706)
Drift Lon: -28.787133 m (1.720742) 
Drift Lat: 15.269289 m (1.487676) 
Drift:    32.598282 m (1.405947) 
Drift Azi: 297.954192 deg (3.136111)
dz: 6.866598 m (7.161835)

RMS:  1.420529 ms (0.352689)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.705850 -134.093805 4496.311448   3.945155   0.000000   0.000000
  2:  -5.705850 -134.093805 4496.311448  -1.529546  -0.037256  -0.147841
  3:  -5.706273 -134.093505 4492.501332  -0.540980  -0.047427  -0.188065
  4:  -5.706772 -134.093118 4488.785799  -1.467948  -0.038298  -0.151724
  5:  -5.707555 -134.092832 4486.330911  -0.354410   0.002003   0.007933
  6:  -5.708542 -134.092862 4487.388551   1.090506   0.070579   0.279589
  7:  -5.709680 -134.093425 4494.577707  -2.067172   0.176002   0.698175
  8:  -5.710600 -134.094958 4512.707275  -0.380801   0.349517   1.392186
  9:  -5.711332 -134.096932 4543.940725   1.084131   0.579203   2.323418
 10:  -5.712070 -134.098982 4588.463271   0.990563   0.806726   3.267595
 11:  -5.713035 -134.100848 4643.561841  -0.973849   0.853941   3.499282
 12:  -5.714982 -134.104492 4783.159206   3.226236   0.721076   3.046049
 13:  -5.718332 -134.107925 4986.738965   1.150424   0.321965   1.417412
 14:  -5.729473 -134.089637 5092.088363  -0.286592   0.170390   0.765597
 15:  -5.729188 -134.087642 5090.122438  -1.452527  -0.169385  -0.760527
 16:  -5.726807 -134.084257 5017.210467   2.649982  -0.338563  -1.499983
 17:  -5.725347 -134.082980 4975.663586   0.145484  -0.525955  -2.309607
 18:  -5.723712 -134.081717 4935.802749  -1.742440  -0.546246  -2.378411
 19:  -5.719640 -134.078702 4877.691756   0.187445  -0.214157  -0.921882
 20:  -5.717892 -134.077468 4870.220087  -0.835398  -0.099912  -0.429373
 21:  -5.716077 -134.076282 4871.073330   0.907175  -0.010190  -0.043810
 22:  -5.714112 -134.075253 4874.865303  -0.993445   0.018928   0.081420
 23:  -5.712147 -134.074407 4883.226169  -0.145683  -0.012724  -0.054835
 24:  -5.710057 -134.073987 4883.493551  -1.401695  -0.045559  -0.196307
 25:  -5.707820 -134.074083 4872.361392   0.236855  -0.052701  -0.226629
 26:  -5.705458 -134.074435 4863.554020  -1.909412  -0.051729  -0.221969
 27:  -5.703177 -134.074822 4866.697869  -0.221655  -0.053842  -0.231231
 28:  -5.701015 -134.075420 4872.724469   0.734437  -0.041196  -0.177176
 29:  -5.699027 -134.076648 4863.796483   1.500027  -0.031959  -0.137218
 30:  -5.697183 -134.078140 4855.902163  -0.815197  -0.045282  -0.194024
 31:  -5.695565 -134.079620 4855.584264   2.353987  -0.048300  -0.207064
 32:  -5.694242 -134.081260 4853.190811   0.680475  -0.036508  -0.156393
 33:  -5.693163 -134.083165 4847.409037   0.357929  -0.045488  -0.194614
 34:  -5.692172 -134.085115 4849.629784   1.332126  -0.045825  -0.196175
 35:  -5.691568 -134.087197 4846.568816  -0.464962  -0.022945  -0.098138
 36:  -5.691353 -134.089368 4838.727925  -0.124252  -0.011055  -0.047208
 37:  -5.691137 -134.091547 4843.029042   1.123670  -0.007339  -0.031370
 38:  -5.691260 -134.093783 4845.568125  -0.177892   0.025340   0.108357
 39:  -5.691695 -134.095832 4845.898710   0.367063   0.036032   0.154103
 40:  -5.692447 -134.097748 4842.843774   0.411708   0.008413   0.035959
 41:  -5.693240 -134.099632 4848.291428  -1.640963  -0.024236  -0.103659
 42:  -5.694402 -134.101365 4847.926647  -1.171895  -0.052890  -0.226220
 43:  -5.695827 -134.102768 4840.880675   0.017864  -0.109613  -0.468305
 44:  -5.697648 -134.104037 4829.285766  -1.426199  -0.184562  -0.786349
 45:  -5.698920 -134.104278 4806.794673  -2.494282  -0.324152  -1.374451
 46:  -5.699865 -134.104133 4781.979376   0.187355  -0.497258  -2.098700
 47:  -5.701277 -134.102240 4697.793700  -0.060429  -0.546932  -2.267671
