Bootstrap inversion results (2sigma uncertainty)
Station: WW01
Lat:   -3.78521 deg (0.000014) 
Lon:   -134.73696 deg (0.000010) 
X:     117.639577 m (1.093145) 
Y:    195.599982 m (1.508785) 
Depth: -4534.340003 m (3.183271) 
TAT:   13.314027 ms (0.795494) 
Water Vel.: 1499.714156 m/s (0.985696)
Drift Lon: 117.639577 m (1.093145) 
Drift Lat: 195.599982 m (1.508785) 
Drift:    228.251353 m (1.562599) 
Drift Azi: 31.024003 deg (0.254771)
dz: 47.659997 m (3.183271)

RMS:  1.567564 ms (0.331009)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -3.786592 -134.739332 4544.545112  -0.795829   0.006946   0.028127
  2:  -3.786588 -134.739398 4544.967859  -0.396631  -0.007223  -0.029254
  3:  -3.786608 -134.739333 4544.618125  -1.816655  -0.033962  -0.137518
  4:  -3.786513 -134.738905 4541.762424   0.777240  -0.043155  -0.174688
  5:  -3.786103 -134.738387 4538.177316  -0.349006  -0.038120  -0.154163
  6:  -3.785307 -134.738082 4536.060899  -0.503487  -0.007003  -0.028306
  7:  -3.784123 -134.738223 4538.102201  -0.258515   0.070111   0.283540
  8:  -3.782583 -134.738612 4547.339551  -0.546286   0.204661   0.829337
  9:  -3.780837 -134.739065 4566.054321   0.415534   0.378194   1.538988
 10:  -3.778968 -134.739578 4595.793003   2.639103   0.566545   2.321167
 11:  -3.777045 -134.740138 4636.833232   1.011846   0.751148   3.104261
 12:  -3.775093 -134.740643 4688.208826   1.478383   0.918519   3.838211
 13:  -3.772743 -134.741313 4763.898184  -0.371292   0.984304   4.178215
 14:  -3.770825 -134.741803 4835.310378   1.319312   0.798954   3.443061
 15:  -3.766677 -134.741970 5007.032496  -1.513715   0.560146   2.498252
 16:  -3.765063 -134.735483 5054.782677  -0.270094   0.431942   1.945238
 17:  -3.765353 -134.733093 5056.341858  -1.266940   0.158436   0.713585
 18:  -3.765857 -134.731190 5054.860319   4.215259  -0.042897  -0.193362
 19:  -3.766622 -134.729368 5049.460119  -2.045091  -0.132529  -0.596012
 20:  -3.768847 -134.725723 5039.140631  -2.244909   0.010187   0.045718
 21:  -3.770177 -134.724175 5034.009380   1.303441  -0.007068  -0.031709
 22:  -3.771637 -134.722637 5034.389803   2.665545  -0.009176  -0.041183
 23:  -3.773220 -134.721258 5035.947509   4.483763  -0.014293  -0.064184
 24:  -3.776127 -134.719187 5046.523646  -0.296528   0.083681   0.376250
 25:  -3.778043 -134.718203 5052.695482  -1.426858   0.041468   0.186635
 26:  -3.783418 -134.716467 5077.583593  -2.535740   0.289432   1.308807
 27:  -3.785618 -134.716120 5091.303503  -2.844495   0.214490   0.972501
 28:  -3.787792 -134.715998 5105.243486  -0.566001   0.128673   0.585231
 29:  -3.790508 -134.716220 5119.680030   2.957314   0.119326   0.544567
 30:  -3.793155 -134.717148 5116.163010  -0.152613   0.141255   0.643867
 31:  -3.795310 -134.718007 5122.499275   1.298661   0.137772   0.628921
 32:  -3.797417 -134.719063 5131.675480   0.139642   0.154436   0.706111
 33:  -3.799458 -134.720237 5147.160615  -1.415009   0.178631   0.819002
 34:  -3.801340 -134.721655 5160.586018  -2.289883   0.187207   0.860441
 35:  -3.802985 -134.723347 5168.168121  -0.490532   0.182570   0.840576
 36:  -3.804475 -134.725150 5178.711963  -1.493639   0.170945   0.788541
 37:  -3.805755 -134.727112 5188.242489  -1.224155   0.164756   0.761435
 38:  -3.806858 -134.729158 5200.127575   0.828853   0.149715   0.693714
 39:  -3.807685 -134.731288 5208.952370   0.093123   0.118729   0.551015
 40:  -3.808227 -134.733437 5214.470548  -1.199853   0.095261   0.442474
 41:  -3.808497 -134.735670 5216.405188   2.993196   0.103479   0.481133
 42:  -3.808523 -134.737913 5216.963433   1.336168   0.112907   0.524892
 43:  -3.808528 -134.740198 5228.544652  -0.042512   0.114205   0.531992
 44:  -3.808398 -134.742503 5245.326128  -0.406185   0.116255   0.543239
 45:  -3.807842 -134.744700 5249.908346   1.405059   0.086938   0.406726
 46:  -3.807008 -134.746830 5250.863978   0.183384   0.024414   0.114214
 47:  -3.805965 -134.748913 5252.583207  -0.093207  -0.017280  -0.080863
 48:  -3.804652 -134.750743 5246.446985   1.978599  -0.039567  -0.185003
 49:  -3.803187 -134.752493 5242.891244  -0.162485  -0.058178  -0.271741
 50:  -3.801568 -134.754108 5240.200354   1.358403  -0.060866  -0.284223
 51:  -3.799775 -134.755565 5236.812390   0.894593  -0.048305  -0.225405
 52:  -3.797900 -134.756762 5231.292864   0.278839  -0.059126  -0.275582
 53:  -3.795928 -134.757852 5229.663882  -0.503426  -0.075526  -0.351865
 54:  -3.793855 -134.758728 5226.850395   0.219153  -0.071171  -0.331439
 55:  -3.791763 -134.759258 5217.228336  -0.892566  -0.075354  -0.350200
 56:  -3.789582 -134.759648 5210.044808   0.603077  -0.101080  -0.469237
 57:  -3.787403 -134.759990 5211.765489  -1.556007  -0.128307  -0.595600
 58:  -3.785212 -134.759938 5203.308957  -1.278348  -0.151918  -0.704093
 59:  -3.782982 -134.759623 5192.093523  -0.401567  -0.259117  -1.198549
 60:  -3.780907 -134.758998 5174.836126   0.546941  -0.481618  -2.220715
 61:  -3.778898 -134.758222 5159.918014  -1.410023  -0.755674  -3.473055
 62:  -3.778213 -134.756578 5089.930552  -2.051044  -1.052341  -4.770669
 63:  -3.779048 -134.754872 4998.275921   0.054406  -1.299821  -5.788775
 64:  -3.779992 -134.753072 4908.754942  -0.544814  -1.363265  -5.962326
 65:  -3.780962 -134.751232 4826.367061   2.221037  -1.250825  -5.381034
 66:  -3.781925 -134.749398 4754.040531  -0.234496  -1.084371  -4.593606
 67:  -3.782798 -134.747647 4694.708259  -0.111667  -0.908637  -3.801275
 68:  -3.783550 -134.745882 4644.982718  -1.695965  -0.739564  -3.060664
