Bootstrap inversion results (2sigma uncertainty)
Station: WW03
Lat:   -6.01551 deg (0.000016) 
Lon:   -135.11203 deg (0.000018) 
X:     -4.352001 m (1.942118) 
Y:    134.986458 m (1.782828) 
Depth: -4386.804614 m (3.783809) 
TAT:   11.409787 ms (1.501495) 
Water Vel.: 1497.184552 m/s (1.174497)
Drift Lon: -4.352001 m (1.942118) 
Drift Lat: 134.986458 m (1.782828) 
Drift:    135.060160 m (1.759503) 
Drift Azi: 358.152423 deg (0.832987)
dz: 38.195386 m (3.783809)

RMS:  2.114371 ms (0.494019)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.015738 -135.105895 4439.134756  -2.212425  -0.298210  -1.183036
  2:  -6.015703 -135.106792 4425.014724  -1.404831  -0.250609  -0.991166
  3:  -6.015702 -135.107223 4419.005318  -0.457184  -0.241752  -0.954967
  4:  -6.015683 -135.107548 4414.808217   0.081876  -0.241865  -0.954566
  5:  -6.015640 -135.108700 4402.285983  -0.155477  -0.195799  -0.770551
  6:  -6.015858 -135.110087 4392.243120   1.149542  -0.123972  -0.486860
  7:  -6.016260 -135.111620 4387.823943   1.989994  -0.017477  -0.068573
  8:  -6.016677 -135.113247 4390.772442   0.219780   0.124610   0.489142
  9:  -6.017198 -135.115085 4403.792156   1.701367   0.308907   1.216395
 10:  -6.017818 -135.117100 4429.943467   1.766797   0.530420   2.101065
 11:  -6.018445 -135.119238 4470.618731   0.513939   0.768780   3.072578
 12:  -6.019092 -135.121417 4525.603696  -0.862421   0.999206   4.041839
 13:  -6.019708 -135.123582 4592.975359   2.014822   1.208636   4.963633
 14:  -6.020287 -135.125720 4671.241938   2.445982   1.396241   5.831942
 15:  -6.020885 -135.127857 4761.073827  -1.380127   1.482764   6.308846
 16:  -6.021440 -135.129960 4859.510264   0.053293   1.308684   5.684196
 17:  -6.022020 -135.132105 4970.140100   0.254749   0.918517   4.080352
 18:  -6.020858 -135.133498 5024.271852   2.745518   0.488111   2.193006
 19:  -6.018962 -135.133337 4995.439856   1.386816   0.070047   0.312822
 20:  -6.016882 -135.133157 4973.740626   1.367471  -0.201092  -0.894155
 21:  -6.014622 -135.132955 4961.932861   1.165579  -0.220966  -0.980170
 22:  -6.012447 -135.132547 4951.611495  -0.927062  -0.119059  -0.526826
 23:  -6.010250 -135.132037 4948.607629  -2.767319  -0.038433  -0.169904
 24:  -6.008123 -135.131312 4946.561806  -3.039287   0.022262   0.098367
 25:  -6.005987 -135.130527 4954.473660   0.188092   0.040280   0.178370
 26:  -6.004018 -135.129475 4958.763532  -1.422215  -0.035934  -0.159216
 27:  -6.002112 -135.128307 4968.577116   3.158724  -0.173588  -0.771313
 28:  -5.997733 -135.122828 4953.564267   4.092202   0.069638   0.308547
 29:  -5.996093 -135.118600 4937.964959  -3.466457   0.120871   0.533114
 30:  -5.995637 -135.116552 4931.977549  -1.598580   0.024428   0.107648
 31:  -5.995315 -135.114433 4929.723510  -0.696570  -0.017952  -0.079089
 32:  -5.995075 -135.112372 4934.776464  -0.435500  -0.096028  -0.423506
 33:  -5.995083 -135.109817 4940.286133  -2.595030  -0.204460  -0.902362
 34:  -5.997250 -135.101850 4958.976614  -0.717201   0.035488   0.157268
 35:  -5.998793 -135.099742 4950.951258   1.720805  -0.249153  -1.102869
 36:  -6.011042 -135.090998 4990.933975   6.714091   0.400313   1.787903
 37:  -6.013083 -135.090578 4995.595058   0.209242   0.041872   0.186965
 38:  -6.019940 -135.090355 5024.145732  -0.775979   0.086670   0.389123
 39:  -6.025265 -135.091955 5034.590370  -1.647706   0.151147   0.679894
 40:  -6.029595 -135.094913 5026.037765  -2.206866   0.266427   1.196301
 41:  -6.031258 -135.096285 5031.449662  -2.447214   0.175576   0.789183
 42:  -6.032807 -135.097633 5044.117562  -0.506271   0.131273   0.591746
 43:  -6.034220 -135.099215 5053.513327  -0.086809   0.102395   0.462464
 44:  -6.035513 -135.100968 5063.324961   0.735755   0.058889   0.266525
 45:  -6.036522 -135.102950 5064.965242   0.561447   0.017019   0.077048
 46:  -6.037232 -135.105062 5060.594237   2.305074  -0.016408  -0.074241
 47:  -6.037763 -135.107242 5057.811582   0.154744  -0.043937  -0.198617
 48:  -6.038078 -135.109482 5054.972114   1.840423  -0.043547  -0.196802
 49:  -6.038222 -135.111715 5055.074376   0.766393  -0.033412  -0.150973
 50:  -6.038005 -135.113943 5047.541932   4.589268  -0.157970  -0.713230
 51:  -6.037778 -135.116222 5052.138855  -0.267464  -0.438923  -1.981815
 52:  -6.037158 -135.118295 5045.479805  -2.229118  -0.778055  -3.507128
 53:  -6.035205 -135.118750 4953.952588  -2.964208  -1.112944  -4.925368
 54:  -6.033267 -135.118005 4851.588326  -3.233892  -1.352034  -5.860010
 55:  -6.031278 -135.117252 4755.974044  -3.490542  -1.339358  -5.690828
 56:  -6.029480 -135.116693 4679.485770  -1.395077  -1.173597  -4.907931
 57:  -6.027882 -135.116197 4618.323493   1.170560  -1.004822  -4.148823
 58:  -6.026325 -135.115752 4565.572268  -1.230558  -0.840143  -3.428180
 59:  -6.024983 -135.115368 4525.302943  -0.468852  -0.756340  -3.059345
