Bootstrap inversion results (2sigma uncertainty)
Station: EE04
Lat:   -8.20434 deg (0.000024) 
Lon:   -131.25507 deg (0.000030) 
X:     -106.460025 m (3.282334) 
Y:    -115.164714 m (2.611073) 
Depth: -4686.345242 m (4.474065) 
TAT:   12.603018 ms (2.548294) 
Water Vel.: 1502.070422 m/s (1.389425)
Drift Lon: -106.460025 m (3.282334) 
Drift Lat: -115.164714 m (2.611073) 
Drift:    156.845404 m (1.501211) 
Drift Azi: 222.749913 deg (1.430609)
dz: 30.654758 m (4.474065)

RMS:  2.903008 ms (0.889099)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -8.202777 -131.254152 4690.621478  -1.987680  -0.000734  -0.003059
  2:  -8.202778 -131.254155 4690.606805  -1.054150  -0.002775  -0.011558
  3:  -8.202810 -131.254145 4690.502761  -0.919915  -0.003064  -0.012765
  4:  -8.202848 -131.254168 4690.296665   0.271499  -0.003562  -0.014842
  5:  -8.202893 -131.254198 4690.055534  -0.362972  -0.002870  -0.011956
  6:  -8.202933 -131.254202 4689.899091  -0.196692  -0.007487  -0.031187
  7:  -8.202965 -131.254265 4689.647557  -0.874497  -0.022518  -0.093790
  8:  -8.203277 -131.253623 4690.519295  -1.004981  -0.019873  -0.082785
  9:  -8.204620 -131.253032 4691.805323   0.473609   0.055381   0.230801
 10:  -8.206483 -131.252625 4700.032758  -1.665217   0.209354   0.873697
 11:  -8.208525 -131.252185 4719.821259   2.529430   0.411295   1.724313
 12:  -8.210665 -131.251737 4752.426543   1.133950   0.625071   2.637794
 13:  -8.212835 -131.251297 4797.580133   1.911286   0.835041   3.557105
 14:  -8.215015 -131.250855 4854.963305   4.302496   1.035329   4.463844
 15:  -8.217165 -131.250455 4922.545021   8.880237   1.205636   5.273123
 16:  -8.219600 -131.249983 5012.321868   5.682105   1.231044   5.480236
 17:  -8.221802 -131.249588 5104.423698   3.179418   0.994260   4.506507
 18:  -8.224115 -131.249632 5206.051508   2.370992   0.647365   2.992941
 19:  -8.224720 -131.252490 5207.890027   1.547045   0.337736   1.562083
 20:  -8.224590 -131.254843 5193.991271  -0.093041   0.060003   0.276755
 21:  -8.224457 -131.257277 5193.306862  -1.512853  -0.036402  -0.167836
 22:  -8.224057 -131.259588 5192.736427  -0.683469  -0.006760  -0.031167
 23:  -8.223473 -131.261748 5194.338481  -1.673824   0.009538   0.043985
 24:  -8.222637 -131.263775 5193.922132  -0.287551  -0.000610  -0.002812
 25:  -8.221560 -131.265663 5191.506126  -0.130331  -0.013266  -0.061161
 26:  -8.220323 -131.267467 5191.631630  -1.177661  -0.004572  -0.021074
 27:  -8.218842 -131.269157 5190.775438  -1.012566   0.007501   0.034573
 28:  -8.217170 -131.270712 5191.025399   0.405347  -0.030320  -0.139783
 29:  -8.215455 -131.272230 5200.895991  -0.029198  -0.095415  -0.440722
 30:  -8.210207 -131.274832 5208.250571   0.324334   0.153966   0.712081
 31:  -8.208020 -131.275220 5201.811401   2.343529   0.082684   0.382099
 32:  -8.205768 -131.275508 5201.957823  -1.970449  -0.044591  -0.205924
 33:  -8.203555 -131.275615 5205.394642  -1.514856  -0.255867  -1.182636
 34:  -8.201083 -131.275472 5210.293868  -4.814144  -0.523219  -2.419600
 35:  -8.181973 -131.258073 5309.561970   1.790135   0.497217   2.344401
 36:  -8.182542 -131.248888 5313.945510   1.971877   0.493931   2.330910
 37:  -8.183025 -131.246812 5324.192468   0.052595   0.177712   0.840144
 38:  -8.184658 -131.243098 5332.887448   1.202767   0.134974   0.639271
 39:  -8.185798 -131.241263 5336.744132   0.664956   0.042451   0.201194
 40:  -8.187185 -131.239613 5334.926059   1.704458  -0.020641  -0.097821
 41:  -8.188733 -131.238173 5329.770238   1.462548  -0.048569  -0.229944
 42:  -8.190448 -131.236868 5323.870516   1.369754  -0.043237  -0.204466
 43:  -8.192227 -131.235735 5319.237170   0.659599  -0.034284  -0.161968
 44:  -8.194095 -131.234622 5321.741041   1.194142  -0.050631  -0.239330
 45:  -8.196093 -131.233647 5325.827240   1.552655  -0.088582  -0.419089
 46:  -8.198657 -131.232878 5323.002936   1.794022  -0.185716  -0.878263
 47:  -8.201848 -131.232695 5302.287135  -2.087899  -0.358978  -1.690040
 48:  -8.208562 -131.232817 5309.433121   0.003263  -0.409024  -1.929045
 49:  -8.210025 -131.234692 5234.215312  -3.799211  -0.688988  -3.201803
 50:  -8.209422 -131.236392 5148.942599  -6.289087  -0.950647  -4.345285
 51:  -8.208912 -131.237818 5082.242249  -8.802739  -1.060667  -4.784400
 52:  -8.208435 -131.239153 5024.061144  -6.842892  -0.919234  -4.100063
